1,2
id-157,rec-157-dup-0
id-243,rec-243-dup-0
rec-12-dup-1,rec-12-dup-0
id-209,rec-209-dup-0
id-9,rec-9-dup-0
id-94,rec-94-dup-0
id-12,rec-12-dup-1
id-20,rec-20-dup-0
id-230,rec-230-dup-0
rec-22-dup-1,rec-22-dup-0
rec-224-dup-0,rec-224-dup-1
id-10058,rec-10058-dup-0
id-129,rec-129-dup-0
id-66,rec-66-dup-0
id-147,rec-147-dup-1
id-10026,rec-10026-dup-0
id-45,rec-45-dup-1
id-206,rec-206-dup-0
id-22,rec-22-dup-0
id-95,rec-95-dup-0
id-126,rec-126-dup-0
id-77,rec-77-dup-0
id-186,rec-186-dup-0
id-90,rec-90-dup-0
id-10018,rec-10018-dup-0
id-233,rec-233-dup-0
id-225,rec-225-dup-1
rec-114-dup-0,rec-114-dup-1
rec-161-dup-1,rec-161-dup-0
id-10009,rec-10009-dup-0
rec-126-dup-0,rec-126-dup-1
rec-221-dup-1,rec-221-dup-0
id-190,rec-190-dup-0
id-109,rec-109-dup-0
rec-10021-dup-1,rec-10021-dup-0
rec-225-dup-1,rec-225-dup-0
id-91,rec-91-dup-0
rec-240-dup-0,rec-240-dup-1
id-51,rec-51-dup-0
id-161,rec-161-dup-1
id-144,rec-144-dup-1
id-231,rec-231-dup-1
id-126,rec-126-dup-1
id-8,rec-8-dup-0
rec-250-dup-0,rec-250-dup-1
rec-243-dup-1,rec-243-dup-0
id-101,rec-101-dup-0
id-31,rec-31-dup-0
rec-196-dup-1,rec-196-dup-0
rec-229-dup-0,rec-229-dup-1
rec-5-dup-1,rec-5-dup-0
id-10035,rec-10035-dup-0
id-2,rec-2-dup-0
rec-185-dup-0,rec-185-dup-1
rec-225-dup-0,rec-225-dup-1
rec-197-dup-1,rec-197-dup-0
rec-36-dup-1,rec-36-dup-0
id-10051,rec-10051-dup-0
id-114,rec-114-dup-0
rec-10011-dup-0,rec-10011-dup-1
id-10020,rec-10020-dup-0
rec-143-dup-0,rec-143-dup-1
rec-262-dup-0,rec-262-dup-1
id-147,rec-147-dup-0
id-163,rec-163-dup-0
rec-209-dup-0,rec-209-dup-1
rec-174-dup-0,rec-174-dup-1
id-188,rec-188-dup-0
id-189,rec-189-dup-0
rec-143-dup-1,rec-143-dup-0
rec-45-dup-0,rec-45-dup-1
rec-240-dup-1,rec-240-dup-0
id-8,rec-8-dup-1
id-221,rec-221-dup-1
id-73,rec-73-dup-0
id-123,rec-123-dup-1
id-124,rec-124-dup-0
rec-174-dup-1,rec-174-dup-0
rec-59-dup-1,rec-59-dup-0
rec-36-dup-0,rec-36-dup-1
rec-9-dup-0,rec-9-dup-1
id-15,rec-15-dup-0
rec-77-dup-0,rec-77-dup-1
rec-123-dup-1,rec-123-dup-0
rec-23-dup-1,rec-23-dup-0
rec-10018-dup-0,rec-10018-dup-1
id-231,rec-231-dup-0
rec-10046-dup-1,rec-10046-dup-0
rec-9-dup-1,rec-9-dup-0
rec-212-dup-0,rec-212-dup-1
id-10025,rec-10025-dup-0
id-117,rec-117-dup-0
id-10011,rec-10011-dup-0
id-234,rec-234-dup-0
id-196,rec-196-dup-1
id-47,rec-47-dup-0
id-173,rec-173-dup-0
id-10046,rec-10046-dup-1
id-10022,rec-10022-dup-0
id-39,rec-39-dup-0
rec-8-dup-0,rec-8-dup-1
id-250,rec-250-dup-1
id-185,rec-185-dup-1
rec-243-dup-0,rec-243-dup-1
rec-5-dup-0,rec-5-dup-1
rec-197-dup-0,rec-197-dup-1
id-9,rec-9-dup-1
rec-144-dup-0,rec-144-dup-1
rec-108-dup-0,rec-108-dup-1
id-174,rec-174-dup-0
id-229,rec-229-dup-1
rec-231-dup-1,rec-231-dup-0
id-228,rec-228-dup-0
id-114,rec-114-dup-1
id-10013,rec-10013-dup-0
id-108,rec-108-dup-0
id-198,rec-198-dup-1
rec-224-dup-1,rec-224-dup-0
id-10021,rec-10021-dup-0
id-196,rec-196-dup-0
id-10019,rec-10019-dup-0
rec-126-dup-1,rec-126-dup-0
id-240,rec-240-dup-1
rec-157-dup-1,rec-157-dup-0
id-221,rec-221-dup-0
id-108,rec-108-dup-1
id-250,rec-250-dup-0
rec-144-dup-1,rec-144-dup-0
id-117,rec-117-dup-1
rec-241-dup-0,rec-241-dup-1
id-10011,rec-10011-dup-1
id-198,rec-198-dup-0
rec-147-dup-1,rec-147-dup-0
id-5,rec-5-dup-1
id-52,rec-52-dup-0
rec-173-dup-1,rec-173-dup-0
id-128,rec-128-dup-0
id-10003,rec-10003-dup-0
id-118,rec-118-dup-0
id-157,rec-157-dup-1
id-10017,rec-10017-dup-0
rec-10018-dup-1,rec-10018-dup-0
rec-10022-dup-1,rec-10022-dup-0
id-241,rec-241-dup-1
rec-22-dup-0,rec-22-dup-1
id-185,rec-185-dup-0
rec-81-dup-1,rec-81-dup-0
rec-196-dup-0,rec-196-dup-1
id-214,rec-214-dup-1
id-5,rec-5-dup-0
rec-45-dup-1,rec-45-dup-0
rec-10046-dup-0,rec-10046-dup-1
rec-12-dup-0,rec-12-dup-1
id-10016,rec-10016-dup-0
id-262,rec-262-dup-0
id-225,rec-225-dup-0
id-10021,rec-10021-dup-1
rec-77-dup-1,rec-77-dup-0
id-242,rec-242-dup-0
id-262,rec-262-dup-1
id-227,rec-227-dup-0
rec-132-dup-1,rec-132-dup-0
rec-234-dup-1,rec-234-dup-0
rec-214-dup-0,rec-214-dup-1
rec-157-dup-0,rec-157-dup-1
id-10022,rec-10022-dup-1
rec-108-dup-1,rec-108-dup-0
rec-209-dup-1,rec-209-dup-0
id-60,rec-60-dup-0
id-138,rec-138-dup-0
rec-10011-dup-1,rec-10011-dup-0
id-69,rec-69-dup-0
rec-10021-dup-0,rec-10021-dup-1
id-174,rec-174-dup-1
id-77,rec-77-dup-1
rec-253-dup-0,rec-253-dup-1
rec-23-dup-0,rec-23-dup-1
id-59,rec-59-dup-0
rec-198-dup-0,rec-198-dup-1
rec-161-dup-0,rec-161-dup-1
rec-214-dup-1,rec-214-dup-0
rec-8-dup-1,rec-8-dup-0
rec-163-dup-0,rec-163-dup-1
id-50,rec-50-dup-0
id-16,rec-16-dup-0
id-10018,rec-10018-dup-1
id-173,rec-173-dup-1
rec-212-dup-1,rec-212-dup-0
rec-114-dup-1,rec-114-dup-0
rec-117-dup-0,rec-117-dup-1
id-45,rec-45-dup-0
id-10040,rec-10040-dup-1
id-240,rec-240-dup-0
id-253,rec-253-dup-0
id-92,rec-92-dup-0
id-10053,rec-10053-dup-0
id-143,rec-143-dup-0
id-212,rec-212-dup-1
id-177,rec-177-dup-0
id-59,rec-59-dup-1
id-207,rec-207-dup-0
id-12,rec-12-dup-0
id-144,rec-144-dup-0
rec-163-dup-1,rec-163-dup-0
id-23,rec-23-dup-0
id-209,rec-209-dup-1
rec-253-dup-1,rec-253-dup-0
id-36,rec-36-dup-1
id-132,rec-132-dup-1
id-197,rec-197-dup-0
rec-231-dup-0,rec-231-dup-1
id-143,rec-143-dup-1
rec-250-dup-1,rec-250-dup-0
id-239,rec-239-dup-0
id-81,rec-81-dup-0
id-10045,rec-10045-dup-0
rec-132-dup-0,rec-132-dup-1
id-10050,rec-10050-dup-0
id-22,rec-22-dup-1
rec-241-dup-1,rec-241-dup-0
rec-10022-dup-0,rec-10022-dup-1
id-123,rec-123-dup-0
rec-198-dup-1,rec-198-dup-0
rec-59-dup-0,rec-59-dup-1
id-10040,rec-10040-dup-0
id-10054,rec-10054-dup-0
id-243,rec-243-dup-1
id-23,rec-23-dup-1
id-214,rec-214-dup-0
id-212,rec-212-dup-0
id-224,rec-224-dup-0
rec-234-dup-0,rec-234-dup-1
id-36,rec-36-dup-0
rec-173-dup-0,rec-173-dup-1
id-100,rec-100-dup-0
id-10046,rec-10046-dup-0
id-96,rec-96-dup-0
rec-10040-dup-1,rec-10040-dup-0
id-241,rec-241-dup-0
id-132,rec-132-dup-0
rec-10040-dup-0,rec-10040-dup-1
id-234,rec-234-dup-1
id-261,rec-261-dup-0
rec-81-dup-0,rec-81-dup-1
id-113,rec-113-dup-0
