item,version_group,language,flavor_text
rec-1300-dup-0,20,9,When a Pokémon smells this mint its Sp. Atk will growmore easily but its Speed will grow more slowly.
rec-1300-dup-0,20,4,讓寶可夢聞這種薄荷的氣味會令特攻變得容易提高但速度則難以提高
rec-1300-dup-0,20,1,ポケモンに　かおりを　かがせるととくこうが　あがりやすく　なるがすばやさは　あがりにくくなる　ミント
rec-1300-dup-0,20,5,Si un Pokémon hume cet aromate son Attaque Spécialemontera plus facilement mais sa Vitessese développera plus lentement.
rec-1300-dup-0,20,12,宝可梦闻了这种薄荷之后会令特攻容易提高而速度则难以提高
rec-1300-dup-0,20,3,포켓몬에게 향기를 맡게 하면특수공격이 오르기 쉬워지지만스피드가 오르기 어려워지는 민트.
rec-1300-dup-0,20,8,Quando un Pokémon ne sente il profumoil suo Attacco Speciale aumenta più facilmentea scapito della Velocità.
rec-1300-dup-0,20,11,ポケモンに　香りを　かがせると特攻が　上がりやすく　なるが素早さは　上がりにくくなる　ミント
rec-1300-dup-0,20,6,Lässt man ein Pokémon an dieser Minze schnuppernsteigt sein Spezial-Angriff schneller aber seine Initiativeumso langsamer.
rec-1300-dup-0,20,7,Cuando un Pokémon percibe su aroma aumenta conmás facilidad su Ataque Especial en detrimento de suVelocidad.
rec-1472-dup-0,20,7,Posibilita la aparición de VAR 0000 en el nidoDinamax de la Atalaya del Área Silvestre hasta finalizarel día en que se ha usado.
rec-1472-dup-0,20,12,使用后的当天旷野地带的瞭望塔巨巢中会出现VAR 0000
rec-1472-dup-0,20,1,つかった　ひに　ワイルドエリアのみはりとうのダイすあな　からVAR 0000が　あらわれる
rec-1472-dup-0,20,9,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.
rec-1472-dup-0,20,8,Strumento che fa apparire VAR 0000 nelladynatana della Torre Diroccata nelle Terre Selvaggefino alla fine del giorno in cui viene usato.
rec-1472-dup-0,20,11,使った　日に　ワイルドエリアの見張り塔のダイ巣穴　からVAR 0000が　現れる
rec-1472-dup-0,20,5,Un objet faisant apparaître un VAR 0000dans lantre géant de la Tour en ruinesdes Terres Sauvages jusquà la fin de la journée.
rec-1472-dup-0,20,3,사용한 당일에만 와일드에리어에 있는감시탑의 다이맥스굴에서VAR 0000VAR 0003 나타난다.
rec-1472-dup-0,20,4,使用後的當天VAR 0000會出現在曠野地帶的瞭望塔巨巢
rec-1472-dup-0,20,6,Dieses Item bewirkt dass im Wachturm-Nest in derNaturzone ein VAR 0000 bis zum Ende des Tageserscheint an dem das Item eingesetzt wurde.
rec-52-dup-0,20,5,Une boisson très nutritive qui augmentela Défense Spéciale de base dun Pokémon.
rec-52-dup-0,20,3,포켓몬의 영양 드링크.포켓몬 1마리의 특수방어기초 포인트를 올린다.
rec-52-dup-0,20,9,A nutritious drink for Pokémon. When consumedit raises the Sp. Def base points of a single Pokémon.
rec-52-dup-0,20,6,Ein gehaltvolles Getränk das denSpezial-Verteidigungs-Basiswert einesPokémon dauerhaft erhöht.
rec-52-dup-0,20,7,Nutritiva bebida que aumenta la Defensa Especial debase de un Pokémon.
rec-52-dup-0,20,8,Bevanda nutriente per Pokémon.Aumenta i punti base della Difesa Speciale.
rec-52-dup-0,20,11,ポケモンの　栄養ドリンクポケモン　１匹の　特防の基礎ポイントを　あげる
rec-52-dup-0,20,1,ポケモンの　えいようドリンクポケモン　１ひきの　とくぼうのきそポイントを　あげる
rec-52-dup-0,20,12,宝可梦的营养饮料能提高１只宝可梦的特防的基础点数
rec-52-dup-0,20,4,寶可夢的營養飲料能提高１隻寶可夢的特防的基礎點數
rec-1511-dup-0,20,12,使用后的当天旷野地带的瞭望塔巨巢中会出现VAR 0000
rec-1511-dup-0,20,5,Un objet faisant apparaître un VAR 0000dans lantre géant de la Tour en ruinesdes Terres Sauvages jusquà la fin de la journée.
rec-1511-dup-0,20,3,사용한 당일에만 와일드에리어에 있는감시탑의 다이맥스굴에서VAR 0000VAR 0003 나타난다.
rec-1511-dup-0,20,1,つかった　ひに　ワイルドエリアのみはりとうのダイすあな　からVAR 0000が　あらわれる
rec-1511-dup-0,20,4,使用後的當天VAR 0000會出現在曠野地帶的瞭望塔巨巢
rec-1511-dup-0,20,9,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.
rec-1511-dup-0,20,8,Strumento che fa apparire VAR 0000 nelladynatana della Torre Diroccata nelle Terre Selvaggefino alla fine del giorno in cui viene usato.
rec-1511-dup-0,20,6,Dieses Item bewirkt dass im Wachturm-Nest in derNaturzone ein VAR 0000 bis zum Ende des Tageserscheint an dem das Item eingesetzt wurde.
rec-1511-dup-0,20,7,Posibilita la aparición de VAR 0000 en el nidoDinamax de la Atalaya del Área Silvestre hasta finalizarel día en que se ha usado.
rec-1511-dup-0,20,11,使った　日に　ワイルドエリアの見張り塔のダイ巣穴　からVAR 0000が　現れる
rec-1132-dup-0,20,7,Caramelo energético que aumenta todas lascaracterísticas de cierto Pokémon.
rec-1132-dup-0,20,6,Ein Bonbon das voller Energie steckt. Erhöht dauerhaftsämtliche Statuswerte eines bestimmten Pokémon.
rec-1132-dup-0,20,5,Un bonbon plein dénergie.Il augmente toutes les stats dun certain Pokémon.
rec-1132-dup-0,20,4,充滿能量的糖果能提高特定寶可夢的所有能力
rec-1132-dup-0,20,3,에너지가 가득한 사탕.특정 포켓몬의모든 능력을 올린다.
rec-1132-dup-0,20,11,エネルギーの　つまった　アメ特定の　ポケモンの　能力をすべて　上げる
rec-1132-dup-0,20,8,Una caramella piena zeppa di energia.Aumenta tutte le statistiche di determinati Pokémon.
rec-1132-dup-0,20,9,A candy that is packed with energy. When given tocertain Pokémon it will increase all their stats at once.
rec-1132-dup-0,20,1,エネルギーの　つまった　アメとくていの　ポケモンの　のうりょくをすべて　あげる
rec-1132-dup-0,20,12,充满能量的糖果能让特定宝可梦的所有能力上升
rec-1318-dup-0,20,5,Un ingrédient de cuisine pour le camping.À ajouter au curry pour corriger les erreursde préparation.
rec-1318-dup-0,20,8,Uno degli ingredienti che puoi usare per cucinarein campeggio. Questo prodotto precotto permettedi andare a colpo sicuro ed evitare brutte sorprese.
