1,2
rec-95-dup-0,rec-95-dup-1
id-1019,rec-1019-dup-0
rec-1543-dup-1,rec-1543-dup-0
id-1339,rec-1339-dup-0
id-740,rec-740-dup-0
rec-685-dup-0,rec-685-dup-1
rec-304-dup-0,rec-304-dup-1
id-36,rec-36-dup-0
id-1433,rec-1433-dup-0
id-1620,rec-1620-dup-0
rec-788-dup-0,rec-788-dup-1
id-424,rec-424-dup-0
rec-1339-dup-0,rec-1339-dup-1
rec-796-dup-1,rec-796-dup-0
rec-542-dup-0,rec-542-dup-1
id-588,rec-588-dup-0
rec-1005-dup-1,rec-1005-dup-0
rec-760-dup-1,rec-760-dup-0
rec-147-dup-0,rec-147-dup-1
id-423,rec-423-dup-0
rec-796-dup-0,rec-796-dup-1
id-1166,rec-1166-dup-0
id-1107,rec-1107-dup-0
id-434,rec-434-dup-1
id-1602,rec-1602-dup-0
rec-981-dup-0,rec-981-dup-1
id-765,rec-765-dup-0
rec-1079-dup-1,rec-1079-dup-0
rec-1525-dup-0,rec-1525-dup-1
id-739,rec-739-dup-0
id-1287,rec-1287-dup-0
id-659,rec-659-dup-1
rec-121-dup-0,rec-121-dup-1
rec-1315-dup-0,rec-1315-dup-1
id-542,rec-542-dup-0
id-1439,rec-1439-dup-1
id-1009,rec-1009-dup-0
rec-731-dup-1,rec-731-dup-0
id-575,rec-575-dup-0
id-161,rec-161-dup-0
rec-1407-dup-0,rec-1407-dup-1
id-1208,rec-1208-dup-0
id-779,rec-779-dup-0
rec-1134-dup-1,rec-1134-dup-0
id-576,rec-576-dup-0
id-711,rec-711-dup-1
id-1177,rec-1177-dup-0
rec-1038-dup-1,rec-1038-dup-0
id-883,rec-883-dup-0
rec-536-dup-1,rec-536-dup-0
rec-285-dup-1,rec-285-dup-0
id-310,rec-310-dup-0
id-712,rec-712-dup-1
id-132,rec-132-dup-0
id-1363,rec-1363-dup-0
id-1643,rec-1643-dup-0
id-200,rec-200-dup-0
id-569,rec-569-dup-0
id-418,rec-418-dup-1
id-1578,rec-1578-dup-1
id-595,rec-595-dup-0
id-973,rec-973-dup-0
id-1084,rec-1084-dup-0
id-1494,rec-1494-dup-1
rec-106-dup-0,rec-106-dup-1
id-182,rec-182-dup-0
id-1273,rec-1273-dup-1
rec-510-dup-1,rec-510-dup-0
rec-97-dup-0,rec-97-dup-1
rec-1374-dup-0,rec-1374-dup-1
id-1501,rec-1501-dup-0
rec-475-dup-0,rec-475-dup-1
id-816,rec-816-dup-0
rec-1123-dup-1,rec-1123-dup-0
id-1475,rec-1475-dup-0
id-423,rec-423-dup-1
rec-237-dup-1,rec-237-dup-0
id-39,rec-39-dup-0
id-76,rec-76-dup-0
id-115,rec-115-dup-0
rec-1451-dup-1,rec-1451-dup-0
id-1061,rec-1061-dup-1
id-450,rec-450-dup-1
id-1152,rec-1152-dup-0
id-1017,rec-1017-dup-1
rec-469-dup-1,rec-469-dup-0
rec-380-dup-1,rec-380-dup-0
rec-227-dup-1,rec-227-dup-0
id-1055,rec-1055-dup-0
id-696,rec-696-dup-1
id-1456,rec-1456-dup-0
rec-1289-dup-1,rec-1289-dup-0
rec-1391-dup-0,rec-1391-dup-1
id-474,rec-474-dup-1
id-816,rec-816-dup-1
id-973,rec-973-dup-1
rec-570-dup-1,rec-570-dup-0
id-984,rec-984-dup-0
id-1143,rec-1143-dup-0
rec-981-dup-1,rec-981-dup-0
id-1607,rec-1607-dup-0
id-1123,rec-1123-dup-0
id-1201,rec-1201-dup-0
rec-1578-dup-0,rec-1578-dup-1
rec-1185-dup-1,rec-1185-dup-0
rec-1084-dup-0,rec-1084-dup-1
id-1043,rec-1043-dup-0
id-453,rec-453-dup-1
id-555,rec-555-dup-0
id-586,rec-586-dup-0
rec-1258-dup-1,rec-1258-dup-0
id-1486,rec-1486-dup-0
id-730,rec-730-dup-1
id-89,rec-89-dup-0
id-116,rec-116-dup-0
id-579,rec-579-dup-0
id-249,rec-249-dup-0
id-1360,rec-1360-dup-0
rec-900-dup-0,rec-900-dup-1
id-1612,rec-1612-dup-0
id-624,rec-624-dup-1
rec-1084-dup-1,rec-1084-dup-0
id-234,rec-234-dup-0
id-1180,rec-1180-dup-1
id-1483,rec-1483-dup-0
id-18,rec-18-dup-0
rec-736-dup-1,rec-736-dup-0
rec-1420-dup-1,rec-1420-dup-0
rec-1061-dup-1,rec-1061-dup-0
id-1653,rec-1653-dup-0
id-19,rec-19-dup-1
id-285,rec-285-dup-0
id-1548,rec-1548-dup-0
id-1596,rec-1596-dup-0
id-1148,rec-1148-dup-0
id-1569,rec-1569-dup-0
rec-624-dup-0,rec-624-dup-1
id-169,rec-169-dup-0
id-797,rec-797-dup-1
id-784,rec-784-dup-0
id-1656,rec-1656-dup-1
id-1048,rec-1048-dup-0
rec-746-dup-1,rec-746-dup-0
id-1506,rec-1506-dup-0
rec-1153-dup-0,rec-1153-dup-1
rec-1185-dup-0,rec-1185-dup-1
id-954,rec-954-dup-0
rec-310-dup-0,rec-310-dup-1
id-488,rec-488-dup-0
rec-1316-dup-1,rec-1316-dup-0
rec-1395-dup-1,rec-1395-dup-0
rec-1260-dup-1,rec-1260-dup-0
id-736,rec-736-dup-1
id-964,rec-964-dup-0
rec-119-dup-1,rec-119-dup-0
id-1131,rec-1131-dup-0
id-1649,rec-1649-dup-0
id-614,rec-614-dup-1
id-192,rec-192-dup-0
id-1312,rec-1312-dup-1
id-915,rec-915-dup-0
id-278,rec-278-dup-0
id-1432,rec-1432-dup-1
id-1340,rec-1340-dup-1
rec-24-dup-1,rec-24-dup-0
rec-749-dup-0,rec-749-dup-1
rec-1656-dup-1,rec-1656-dup-0
id-1393,rec-1393-dup-0
id-525,rec-525-dup-0
id-1369,rec-1369-dup-0
rec-1439-dup-1,rec-1439-dup-0
id-119,rec-119-dup-0
rec-342-dup-0,rec-342-dup-1
rec-1330-dup-1,rec-1330-dup-0
rec-1542-dup-1,rec-1542-dup-0
rec-920-dup-0,rec-920-dup-1
id-312,rec-312-dup-0
id-409,rec-409-dup-0
id-610,rec-610-dup-1
rec-1085-dup-0,rec-1085-dup-1
id-1578,rec-1578-dup-0
id-1019,rec-1019-dup-1
rec-1597-dup-1,rec-1597-dup-0
rec-1511-dup-0,rec-1511-dup-1
rec-418-dup-0,rec-418-dup-1
rec-973-dup-1,rec-973-dup-0
id-610,rec-610-dup-0
id-835,rec-835-dup-0
rec-409-dup-1,rec-409-dup-0
rec-1180-dup-0,rec-1180-dup-1
rec-1597-dup-0,rec-1597-dup-1
rec-660-dup-1,rec-660-dup-0
rec-1507-dup-1,rec-1507-dup-0
rec-1038-dup-0,rec-1038-dup-1
rec-1497-dup-0,rec-1497-dup-1
rec-1452-dup-0,rec-1452-dup-1
id-35,rec-35-dup-0
rec-5-dup-1,rec-5-dup-0
id-320,rec-320-dup-0
rec-18-dup-1,rec-18-dup-0
id-309,rec-309-dup-0
rec-93-dup-1,rec-93-dup-0
id-5,rec-5-dup-0
id-107,rec-107-dup-0
id-19,rec-19-dup-0
id-371,rec-371-dup-0
rec-893-dup-0,rec-893-dup-1
rec-135-dup-1,rec-135-dup-0
id-796,rec-796-dup-0
rec-735-dup-0,rec-735-dup-1
id-1472,rec-1472-dup-0
id-669,rec-669-dup-0
id-903,rec-903-dup-1
rec-598-dup-1,rec-598-dup-0
id-685,rec-685-dup-0
rec-163-dup-1,rec-163-dup-0
id-52,rec-52-dup-0
id-611,rec-611-dup-0
id-1547,rec-1547-dup-1
id-377,rec-377-dup-0
id-148,rec-148-dup-1
id-1616,rec-1616-dup-0
id-1412,rec-1412-dup-1
id-18,rec-18-dup-1
id-562,rec-562-dup-0
id-1048,rec-1048-dup-1
id-1319,rec-1319-dup-0
id-1452,rec-1452-dup-1
id-254,rec-254-dup-1
id-621,rec-621-dup-0
id-1243,rec-1243-dup-0
id-1378,rec-1378-dup-0
rec-1412-dup-1,rec-1412-dup-0
rec-790-dup-0,rec-790-dup-1
id-1573,rec-1573-dup-0
id-1303,rec-1303-dup-1
rec-1453-dup-1,rec-1453-dup-0
id-1289,rec-1289-dup-0
id-584,rec-584-dup-0
rec-1320-dup-0,rec-1320-dup-1
id-1499,rec-1499-dup-0
rec-711-dup-0,rec-711-dup-1
id-1525,rec-1525-dup-1
id-1551,rec-1551-dup-1
id-562,rec-562-dup-1
rec-650-dup-0,rec-650-dup-1
id-1185,rec-1185-dup-1
id-1490,rec-1490-dup-0
rec-845-dup-0,rec-845-dup-1
id-280,rec-280-dup-0
rec-786-dup-1,rec-786-dup-0
id-1294,rec-1294-dup-0
rec-1107-dup-1,rec-1107-dup-0
id-950,rec-950-dup-0
id-1218,rec-1218-dup-0
rec-1137-dup-0,rec-1137-dup-1
rec-1539-dup-1,rec-1539-dup-0
rec-1273-dup-0,rec-1273-dup-1
id-63,rec-63-dup-1
id-426,rec-426-dup-0
id-1407,rec-1407-dup-1
id-330,rec-330-dup-0
rec-950-dup-0,rec-950-dup-1
id-1079,rec-1079-dup-1
rec-1303-dup-1,rec-1303-dup-0
rec-1616-dup-0,rec-1616-dup-1
id-402,rec-402-dup-1
id-469,rec-469-dup-0
rec-93-dup-0,rec-93-dup-1
id-1302,rec-1302-dup-0
id-1576,rec-1576-dup-1
rec-233-dup-0,rec-233-dup-1
id-639,rec-639-dup-0
id-1420,rec-1420-dup-1
id-1355,rec-1355-dup-0
rec-532-dup-0,rec-532-dup-1
id-707,rec-707-dup-0
id-662,rec-662-dup-0
rec-555-dup-1,rec-555-dup-0
id-889,rec-889-dup-0
id-809,rec-809-dup-1
id-736,rec-736-dup-0
id-475,rec-475-dup-0
rec-189-dup-1,rec-189-dup-0
id-884,rec-884-dup-0
id-24,rec-24-dup-1
id-730,rec-730-dup-0
rec-8-dup-0,rec-8-dup-1
id-1079,rec-1079-dup-0
id-272,rec-272-dup-0
id-878,rec-878-dup-0
id-427,rec-427-dup-0
id-169,rec-169-dup-1
rec-469-dup-0,rec-469-dup-1
id-101,rec-101-dup-1
rec-973-dup-0,rec-973-dup-1
id-963,rec-963-dup-0
rec-40-dup-0,rec-40-dup-1
id-1179,rec-1179-dup-0
id-224,rec-224-dup-0
rec-1273-dup-1,rec-1273-dup-0
rec-68-dup-0,rec-68-dup-1
id-1288,rec-1288-dup-1
id-1377,rec-1377-dup-0
rec-1494-dup-0,rec-1494-dup-1
id-1400,rec-1400-dup-0
id-97,rec-97-dup-1
rec-1517-dup-0,rec-1517-dup-1
rec-47-dup-1,rec-47-dup-0
id-279,rec-279-dup-0
id-162,rec-162-dup-0
id-1084,rec-1084-dup-1
rec-1374-dup-1,rec-1374-dup-0
rec-1412-dup-0,rec-1412-dup-1
id-711,rec-711-dup-0
id-1622,rec-1622-dup-0
id-1240,rec-1240-dup-1
rec-1354-dup-0,rec-1354-dup-1
id-1251,rec-1251-dup-0
rec-890-dup-1,rec-890-dup-0
id-678,rec-678-dup-0
id-1452,rec-1452-dup-0
id-454,rec-454-dup-0
rec-1432-dup-1,rec-1432-dup-0
id-106,rec-106-dup-0
rec-809-dup-1,rec-809-dup-0
rec-101-dup-1,rec-101-dup-0
id-1560,rec-1560-dup-0
rec-1288-dup-0,rec-1288-dup-1
id-103,rec-103-dup-0
id-190,rec-190-dup-1
id-890,rec-890-dup-1
id-1291,rec-1291-dup-0
rec-765-dup-0,rec-765-dup-1
id-770,rec-770-dup-1
id-1289,rec-1289-dup-1
rec-1139-dup-0,rec-1139-dup-1
id-8,rec-8-dup-1
rec-1423-dup-0,rec-1423-dup-1
rec-237-dup-0,rec-237-dup-1
id-28,rec-28-dup-0
rec-1392-dup-1,rec-1392-dup-0
id-629,rec-629-dup-1
id-1258,rec-1258-dup-1
