item,local_language,name
rec-1300-dup-0,6,Ruhig-Minze
rec-1300-dup-0,3,냉정민트
rec-1300-dup-0,9,Quiet Mint
rec-1300-dup-0,12,冷静薄荷
rec-1300-dup-0,11,れいせいミント
rec-1300-dup-0,5,Aromate Discret
rec-1300-dup-0,7,Menta Mansa
rec-1300-dup-0,1,れいせいミント
rec-1300-dup-0,8,Menta Quieta
rec-1300-dup-0,4,冷靜薄荷
rec-1472-dup-0,5,Cep8162
rec-1472-dup-0,4,Cep8162
rec-1472-dup-0,8,Cep8162
rec-1472-dup-0,9,Cep8162
rec-1472-dup-0,6,Cep8162
rec-1472-dup-0,7,Cep8162
rec-1472-dup-0,3,Cep8162
rec-1472-dup-0,1,Cep8162
rec-1472-dup-0,12,Cep8162
rec-1472-dup-0,11,Cep8162
rec-52-dup-0,5,Zinc
rec-52-dup-0,12,特防增强剂
rec-52-dup-0,1,キトサン
rec-52-dup-0,9,Zinc
rec-52-dup-0,4,特防增強劑
rec-52-dup-0,8,Zinco
rec-52-dup-0,3,키토산
rec-52-dup-0,7,Zinc
rec-52-dup-0,11,キトサン
rec-52-dup-0,6,Zink
rec-1511-dup-0,3,Leo4534
rec-1511-dup-0,4,Leo4534
rec-1511-dup-0,8,Leo4534
rec-1511-dup-0,7,Leo4534
rec-1511-dup-0,6,Leo4534
rec-1511-dup-0,9,Leo4534
rec-1511-dup-0,12,Leo4534
rec-1511-dup-0,5,Leo4534
rec-1511-dup-0,1,Leo4534
rec-1511-dup-0,11,Leo4534
rec-1132-dup-0,4,火焰鳥的糖果
rec-1132-dup-0,8,Caramella Moltres
rec-1132-dup-0,11,ファイヤーのアメ
rec-1132-dup-0,9,Moltres Candy
rec-1132-dup-0,12,火焰鸟的糖果
rec-1132-dup-0,3,파이어의사탕
rec-1132-dup-0,1,ファイヤーのアメ
rec-1132-dup-0,7,Caramelo Moltres
rec-1132-dup-0,6,Lavados-Bonbon
rec-1132-dup-0,5,Bonbon Sulfura
rec-1318-dup-0,8,Curry precotto
rec-1318-dup-0,6,Fertigcurry
rec-1318-dup-0,7,Curri de Bote
rec-1318-dup-0,5,Curry Instantané
rec-1318-dup-0,11,レトルトカレー
rec-1318-dup-0,3,레토르트카레
rec-1318-dup-0,4,即食咖哩
rec-1318-dup-0,12,即食咖喱
rec-1318-dup-0,1,レトルトカレー
rec-1318-dup-0,9,Packaged Curry
rec-542-dup-0,6,Devon-Scope
rec-542-dup-0,9,Devon Scope
rec-542-dup-0,5,Devon Scope
rec-542-dup-0,4,得文偵測鏡
rec-542-dup-0,12,得文侦测镜
rec-542-dup-0,1,デボンスコープ
rec-542-dup-0,8,Devonscopio
rec-542-dup-0,3,데봉스코프
rec-542-dup-0,11,デボンスコープ
rec-542-dup-0,7,Detector Devon
rec-1420-dup-1,1,Vir5315
rec-1420-dup-1,9,Vir5315
rec-1420-dup-1,8,Vir5315
rec-1420-dup-1,5,Vir5315
rec-1420-dup-1,4,Vir5315
rec-1420-dup-1,12,Vir5315
rec-1420-dup-1,6,Vir5315
rec-1420-dup-1,3,Vir5315
rec-1420-dup-1,11,Vir5315
rec-1420-dup-1,7,Vir5315
rec-125-dup-0,7,Carta Pared
rec-125-dup-0,1,ブリックメール
rec-125-dup-0,5,Lettre Brik
rec-125-dup-0,6,Ziegelbrief
rec-125-dup-0,9,Brick Mail
rec-125-dup-0,8,Mess. Muro
rec-194-dup-0,12,先制之爪
rec-194-dup-0,6,Flinkklaue
rec-194-dup-0,11,せんせいのツメ
rec-194-dup-0,7,Garra Rápida
rec-194-dup-0,5,Vive Griffe
rec-194-dup-0,8,Rapidartigli
rec-194-dup-0,4,先制之爪
rec-194-dup-0,3,선제공격손톱
rec-194-dup-0,9,Quick Claw
rec-194-dup-0,1,せんせいのツメ
rec-943-dup-1,4,冰Ｚ
rec-943-dup-1,7,Criostal Z
rec-943-dup-1,12,冰Ｚ
rec-943-dup-1,9,Icium Z
