move,version_group,language,flavor_text
rec-76-dup-0,20,9,In this two-turn attack the user gathers light thenblasts a bundled beam on the next turn.
rec-76-dup-0,20,3,1턴째에 빛을 가득 모아2턴째에 빛의 다발을발사하여 공격한다.
rec-76-dup-0,20,8,Chi la usa assorbe luce al primo turno per proiettareun raggio intenso al turno successivo.
rec-76-dup-0,20,6,Absorbiert Licht in Runde 1. In Runde 2 erfolgt derAngriff.
rec-76-dup-0,20,12,第１回合收集满满的日光第２回合发射光束进行攻击
rec-76-dup-0,20,7,El usuario absorbe luz en el primer turno y en elsegundo lanza un potente rayo de energía.
rec-76-dup-0,20,11,１ターン目に　光を　いっぱいに　集め２ターン目に　光の　束を発射して　攻撃する
rec-76-dup-0,20,5,Absorbe la lumière au premier tour et envoie un rayonpuissant au tour suivant.
rec-76-dup-0,20,4,使用後的第１回合吸收大量日光並於第２回合發射光束進行攻擊
rec-76-dup-0,20,1,１ターンめに　ひかりを　いっぱいにあつめ　２ターンめに　ひかりの　たばをはっしゃして　こうげきする
rec-163-dup-0,20,3,발톱이나 낫 등으로상대를 베어 갈라서 공격한다.급소에 맞기 쉽다.
rec-163-dup-0,20,5,Un coup de griffe ou autre tranche lennemi.Taux de critiques élevé.
rec-163-dup-0,20,1,ツメや　カマ　などであいてを　きりさいて　こうげきするきゅうしょに　あたりやすい
rec-163-dup-0,20,7,Ataca con cuchillas o con pinzas. Suele asestar ungolpe crítico.
rec-163-dup-0,20,9,The target is attacked with a slash of claws orblades. Critical hits land more easily.
rec-163-dup-0,20,6,Hieb mit Klauen oder Ähnlichem.Hohe Volltrefferquote.
rec-163-dup-0,20,8,Attacca il bersaglio con artigli falci o altro.Probabile brutto colpo.
rec-163-dup-0,20,11,ツメや　カマなどで相手を　切り裂いて　攻撃する急所に　当たりやすい
rec-163-dup-0,20,12,用爪子或镰刀等劈开对手进行攻击容易击中要害
rec-163-dup-0,20,4,用爪子或鐮刀等劈開對手進行攻擊容易擊中要害
rec-468-dup-0,20,7,El usuario se afila las garras para aumentar su Ataque yPrecisión.
rec-468-dup-0,20,11,ツメを　磨いて　鋭く　する自分の　攻撃と命中率を　あげる
rec-468-dup-0,20,12,将爪子磨得更加锋利提高自己的攻击和命中率
rec-468-dup-0,20,4,將爪子磨得更加鋒利可提高自己的攻擊和命中率
