1,2
id-343,rec-343-dup-1
id-5,rec-5-dup-0
id-340,rec-340-dup-0
id-363,rec-363-dup-0
id-682,rec-682-dup-0
id-790,rec-790-dup-0
rec-606-dup-0,rec-606-dup-1
id-329,rec-329-dup-0
id-6,rec-6-dup-0
rec-10006-dup-1,rec-10006-dup-0
rec-200-dup-1,rec-200-dup-0
id-193,rec-193-dup-0
id-573,rec-573-dup-0
id-545,rec-545-dup-1
id-304,rec-304-dup-1
id-676,rec-676-dup-0
rec-11-dup-0,rec-11-dup-1
id-426,rec-426-dup-1
id-620,rec-620-dup-0
id-189,rec-189-dup-0
rec-545-dup-0,rec-545-dup-1
id-666,rec-666-dup-0
rec-712-dup-0,rec-712-dup-1
id-219,rec-219-dup-1
rec-595-dup-0,rec-595-dup-1
rec-369-dup-1,rec-369-dup-0
id-352,rec-352-dup-1
id-526,rec-526-dup-0
id-635,rec-635-dup-1
rec-530-dup-0,rec-530-dup-1
id-66,rec-66-dup-0
id-473,rec-473-dup-0
id-391,rec-391-dup-0
rec-39-dup-1,rec-39-dup-0
id-630,rec-630-dup-0
rec-328-dup-0,rec-328-dup-1
id-359,rec-359-dup-1
rec-279-dup-1,rec-279-dup-0
rec-321-dup-0,rec-321-dup-1
rec-217-dup-1,rec-217-dup-0
id-755,rec-755-dup-0
rec-765-dup-0,rec-765-dup-1
rec-352-dup-0,rec-352-dup-1
rec-755-dup-0,rec-755-dup-1
id-700,rec-700-dup-1
id-10006,rec-10006-dup-1
rec-470-dup-0,rec-470-dup-1
rec-734-dup-1,rec-734-dup-0
id-791,rec-791-dup-1
rec-607-dup-1,rec-607-dup-0
id-328,rec-328-dup-1
rec-564-dup-1,rec-564-dup-0
rec-163-dup-0,rec-163-dup-1
id-755,rec-755-dup-1
id-472,rec-472-dup-1
id-274,rec-274-dup-0
rec-475-dup-0,rec-475-dup-1
id-77,rec-77-dup-0
id-257,rec-257-dup-1
rec-545-dup-1,rec-545-dup-0
rec-10-dup-1,rec-10-dup-0
rec-783-dup-1,rec-783-dup-0
id-561,rec-561-dup-0
rec-650-dup-1,rec-650-dup-0
rec-11-dup-1,rec-11-dup-0
rec-625-dup-1,rec-625-dup-0
id-366,rec-366-dup-1
rec-328-dup-1,rec-328-dup-0
rec-185-dup-1,rec-185-dup-0
rec-257-dup-1,rec-257-dup-0
id-39,rec-39-dup-0
id-336,rec-336-dup-0
rec-81-dup-0,rec-81-dup-1
rec-764-dup-0,rec-764-dup-1
id-185,rec-185-dup-0
id-615,rec-615-dup-0
id-472,rec-472-dup-0
id-69,rec-69-dup-0
rec-448-dup-0,rec-448-dup-1
id-759,rec-759-dup-0
id-495,rec-495-dup-1
rec-304-dup-0,rec-304-dup-1
id-74,rec-74-dup-0
id-373,rec-373-dup-0
id-490,rec-490-dup-0
rec-495-dup-0,rec-495-dup-1
id-588,rec-588-dup-1
rec-10006-dup-0,rec-10006-dup-1
id-179,rec-179-dup-0
id-216,rec-216-dup-0
rec-185-dup-0,rec-185-dup-1
id-289,rec-289-dup-0
id-574,rec-574-dup-0
rec-759-dup-0,rec-759-dup-1
id-157,rec-157-dup-0
id-816,rec-816-dup-0
id-346,rec-346-dup-1
id-257,rec-257-dup-0
rec-548-dup-1,rec-548-dup-0
rec-62-dup-1,rec-62-dup-0
rec-338-dup-1,rec-338-dup-0
id-90,rec-90-dup-1
rec-157-dup-1,rec-157-dup-0
rec-321-dup-1,rec-321-dup-0
id-766,rec-766-dup-1
rec-62-dup-0,rec-62-dup-1
id-217,rec-217-dup-0
rec-552-dup-1,rec-552-dup-0
rec-158-dup-1,rec-158-dup-0
rec-526-dup-1,rec-526-dup-0
id-693,rec-693-dup-0
rec-217-dup-0,rec-217-dup-1
id-132,rec-132-dup-0
rec-346-dup-0,rec-346-dup-1
rec-297-dup-1,rec-297-dup-0
rec-531-dup-0,rec-531-dup-1
rec-794-dup-0,rec-794-dup-1
id-13,rec-13-dup-1
rec-755-dup-1,rec-755-dup-0
rec-409-dup-0,rec-409-dup-1
rec-490-dup-0,rec-490-dup-1
id-667,rec-667-dup-0
id-588,rec-588-dup-0
rec-764-dup-1,rec-764-dup-0
rec-530-dup-1,rec-530-dup-0
id-675,rec-675-dup-0
id-230,rec-230-dup-0
id-62,rec-62-dup-0
rec-640-dup-0,rec-640-dup-1
rec-304-dup-1,rec-304-dup-0
id-366,rec-366-dup-0
id-219,rec-219-dup-0
rec-794-dup-1,rec-794-dup-0
id-64,rec-64-dup-1
id-531,rec-531-dup-1
