move,local_language,name
rec-76-dup-0,4,日光束
rec-76-dup-0,3,솔라빔
rec-76-dup-0,8,Solarraggio
rec-76-dup-0,12,日光束
rec-76-dup-0,6,Solarstrahl
rec-76-dup-0,9,Solar Beam
rec-76-dup-0,1,ソーラービーム
rec-76-dup-0,5,Lance-Soleil
rec-76-dup-0,7,Rayo Solar
rec-76-dup-0,11,ソーラービーム
rec-163-dup-0,6,Schlitzer
rec-163-dup-0,7,Cuchillada
rec-163-dup-0,3,베어가르기
rec-163-dup-0,8,Lacerazione
rec-163-dup-0,12,劈开
rec-163-dup-0,9,Slash
rec-163-dup-0,1,きりさく
rec-163-dup-0,4,劈開
rec-163-dup-0,5,Tranche
rec-163-dup-0,11,きりさく
rec-468-dup-0,8,Unghiaguzze
rec-468-dup-0,11,つめとぎ
rec-468-dup-0,6,Klauenwetzer
rec-468-dup-0,1,つめとぎ
rec-468-dup-0,3,손톱갈기
rec-468-dup-0,7,Afilagarras
rec-468-dup-0,9,Hone Claws
rec-468-dup-0,4,磨爪
rec-468-dup-0,12,磨爪
rec-468-dup-0,5,Aiguisage
rec-17-dup-0,11,つばさでうつ
rec-17-dup-0,6,Flügelschlag
rec-17-dup-0,5,Cru-Ailes
rec-17-dup-0,8,Attacco dAla
rec-17-dup-0,3,날개치기
rec-17-dup-0,4,翅膀攻擊
rec-17-dup-0,12,翅膀攻击
rec-17-dup-0,7,Ataque Ala
rec-17-dup-0,1,つばさでうつ
rec-17-dup-0,9,Wing Attack
rec-10006-dup-1,7,Hielo Oscuro
rec-10006-dup-1,8,Gelodombra
rec-10006-dup-1,6,Cryptofrost
rec-10006-dup-1,9,Shadow Chill
rec-10006-dup-1,1,ダークフリーズ
rec-10006-dup-1,5,Froid Noir
rec-576-dup-0,3,뒤집어엎기
rec-576-dup-0,5,Renversement
rec-576-dup-0,6,Invertigo
rec-576-dup-0,12,颠倒
rec-576-dup-0,7,Reversión
rec-576-dup-0,9,Topsy-Turvy
rec-576-dup-0,8,Sottosopra
rec-576-dup-0,4,顛倒
rec-576-dup-0,1,ひっくりかえす
rec-576-dup-0,11,ひっくりかえす
rec-64-dup-0,5,Picpic
rec-64-dup-0,12,啄
rec-64-dup-0,4,啄
rec-64-dup-0,3,쪼기
rec-64-dup-0,7,Picotazo
rec-64-dup-0,8,Beccata
rec-64-dup-0,6,Pikser
rec-64-dup-0,1,つつく
rec-64-dup-0,9,Peck
rec-64-dup-0,11,つつく
rec-311-dup-1,6,Meteorologe
rec-311-dup-1,1,ウェザーボール
rec-311-dup-1,7,Meteorobola
rec-311-dup-1,9,Weather Ball
rec-311-dup-1,4,氣象球
rec-311-dup-1,8,Palla Clima
rec-311-dup-1,3,웨더볼
rec-311-dup-1,5,BallMétéo
rec-311-dup-1,11,ウェザーボール
rec-311-dup-1,12,气象球
rec-279-dup-0,12,报复
rec-279-dup-0,7,Desquite
rec-279-dup-0,9,Revenge
rec-279-dup-0,1,リベンジ
rec-279-dup-0,3,리벤지
rec-279-dup-0,11,リベンジ
rec-279-dup-0,4,報復
rec-279-dup-0,6,Vergeltung
rec-279-dup-0,5,Vendetta
rec-279-dup-0,8,Vendetta
rec-31-dup-1,11,みだれづき
rec-31-dup-1,1,みだれづき
rec-31-dup-1,5,Furie
rec-31-dup-1,9,Fury Attack
rec-31-dup-1,3,마구찌르기
rec-31-dup-1,8,Furia
rec-31-dup-1,12,乱击
rec-31-dup-1,7,Ataque Furia
rec-31-dup-1,4,亂擊
rec-31-dup-1,6,Furienschlag
rec-354-dup-1,6,Psyschub
rec-354-dup-1,11,サイコブースト
rec-354-dup-1,3,사이코부스트
rec-354-dup-1,12,精神突进
rec-354-dup-1,1,サイコブースト
rec-354-dup-1,8,Psicoslancio
rec-354-dup-1,5,Psycho-Boost
rec-354-dup-1,7,Psicoataque
rec-354-dup-1,4,精神突進
rec-354-dup-1,9,Psycho Boost
rec-638-dup-0,3,초월나선연격
rec-638-dup-0,7,Hélice Trepanadora
rec-638-dup-0,11,ちょうぜつらせんれんげき
rec-638-dup-0,5,Vrille Maximum
rec-638-dup-0,6,Turbo-Spiralkombo
rec-638-dup-0,1,ちょうぜつらせんれんげき
rec-638-dup-0,9,Corkscrew Crash
rec-638-dup-0,8,Spirale Perforante
rec-638-dup-0,4,超絕螺旋連擊
rec-638-dup-0,12,超绝螺旋连击
rec-391-dup-0,1,ハートスワップ
rec-391-dup-0,7,Cambia Almas
rec-391-dup-0,8,Cuorbaratto
rec-391-dup-0,5,Permucœur
rec-391-dup-0,6,Statustausch
rec-391-dup-0,3,하트스웹
rec-391-dup-0,12,心灵互换
rec-391-dup-0,11,ハートスワップ
rec-391-dup-0,9,Heart Swap
rec-391-dup-0,4,心靈互換
rec-332-dup-0,8,Aeroassalto
rec-332-dup-0,7,Golpe Aéreo
rec-332-dup-0,1,つばめがえし
rec-332-dup-0,11,つばめがえし
rec-332-dup-0,12,燕返
rec-332-dup-0,9,Aerial Ace
rec-332-dup-0,3,제비반환
rec-332-dup-0,4,燕返
rec-332-dup-0,6,Aero-Ass
rec-332-dup-0,5,Aéropique
rec-606-dup-1,5,Célébration
rec-606-dup-1,11,おいわい
rec-606-dup-1,4,慶祝
rec-606-dup-1,1,おいわい
rec-606-dup-1,3,축하
rec-606-dup-1,7,Celebración
rec-606-dup-1,6,Ehrentag
rec-606-dup-1,9,Celebrate
rec-606-dup-1,12,庆祝
rec-606-dup-1,8,Auguri
rec-603-dup-0,3,해피타임
rec-603-dup-0,12,欢乐时光
rec-603-dup-0,5,Étrennes
rec-603-dup-0,7,Paga Extra
rec-603-dup-0,4,歡樂時光
rec-603-dup-0,8,Cuccagna
rec-603-dup-0,6,Goldene Zeiten
rec-603-dup-0,9,Happy Hour
rec-603-dup-0,11,ハッピータイム
rec-603-dup-0,1,ハッピータイム
rec-473-dup-1,8,Psicoshock
rec-473-dup-1,7,Psicocarga
rec-473-dup-1,5,Choc Psy
rec-473-dup-1,11,サイコショック
rec-473-dup-1,9,Psyshock
rec-473-dup-1,4,精神衝擊
rec-473-dup-1,1,サイコショック
rec-473-dup-1,6,Psychoschock
