pokemon,ability,is_hidden,slot
id-1,id-65,0,1
id-1,id-34,1,3
id-2,id-65,0,1
id-2,id-34,1,3
id-3,id-65,0,1
id-3,id-34,1,3
id-4,id-66,0,1
id-4,id-94,1,3
id-5,id-66,0,1
id-5,id-94,1,3
id-6,id-66,0,1
id-6,id-94,1,3
id-7,id-67,0,1
id-7,id-44,1,3
id-8,id-67,0,1
id-8,id-44,1,3
id-9,id-67,0,1
id-9,id-44,1,3
id-10,id-19,0,1
id-10,id-50,1,3
id-11,id-61,0,1
id-12,id-14,0,1
id-12,id-110,1,3
id-13,id-19,0,1
id-13,id-50,1,3
id-14,id-61,0,1
id-15,id-68,0,1
id-15,id-97,1,3
id-16,id-51,0,1
id-16,id-77,0,2
id-16,id-145,1,3
id-17,id-51,0,1
id-17,id-77,0,2
id-17,id-145,1,3
id-18,id-51,0,1
id-18,id-77,0,2
id-18,id-145,1,3
id-19,id-50,0,1
id-19,id-62,0,2
id-19,id-55,1,3
id-20,id-50,0,1
id-20,id-62,0,2
id-20,id-55,1,3
id-21,id-51,0,1
id-21,id-97,1,3
id-22,id-51,0,1
id-22,id-97,1,3
id-23,id-22,0,1
id-23,id-61,0,2
id-23,id-127,1,3
id-24,id-22,0,1
id-24,id-61,0,2
id-24,id-127,1,3
id-25,id-9,0,1
id-25,id-31,1,3
id-26,id-9,0,1
id-26,id-31,1,3
id-27,id-8,0,1
id-27,id-146,1,3
id-28,id-8,0,1
id-28,id-146,1,3
id-29,id-38,0,1
id-29,id-79,0,2
id-29,id-55,1,3
id-30,id-38,0,1
id-30,id-79,0,2
id-30,id-55,1,3
id-31,id-38,0,1
id-31,id-79,0,2
id-31,id-125,1,3
id-32,id-38,0,1
id-32,id-79,0,2
id-32,id-55,1,3
id-33,id-38,0,1
id-33,id-79,0,2
id-33,id-55,1,3
id-34,id-38,0,1
id-34,id-79,0,2
id-34,id-125,1,3
id-35,id-56,0,1
id-35,id-98,0,2
id-35,id-132,1,3
id-36,id-56,0,1
id-36,id-98,0,2
id-36,id-109,1,3
id-37,id-18,0,1
id-37,id-70,1,3
id-38,id-18,0,1
id-38,id-70,1,3
id-39,id-56,0,1
id-39,id-172,0,2
id-39,id-132,1,3
id-40,id-56,0,1
id-40,id-172,0,2
id-40,id-119,1,3
