pokemon,version,item,rarity
rec-131-dup-1,30,rec-220-dup-0,5
rec-52-dup-0,28,rec-194-dup-0,5
id-492,12,rec-134-dup-0,100
rec-324-dup-0,26,id-226,5
id-621,28,rec-227-dup-0,5
id-46,15,rec-87-dup-0,5
id-105,30,rec-235-dup-0,5
rec-354-dup-1,28,rec-224-dup-0,5
rec-355-dup-1,25,rec-224-dup-0,5
id-10013,11,rec-220-dup-1,100
rec-63-dup-0,22,rec-225-dup-0,5
id-440,14,rec-233-dup-1,5
rec-64-dup-0,29,rec-225-dup-0,5
rec-10005-dup-0,25,id-199,5
rec-373-dup-0,27,rec-227-dup-1,5
rec-84-dup-0,22,id-221,5
id-264,21,rec-135-dup-0,5
rec-416-dup-0,12,id-222,5
rec-208-dup-0,15,id-210,5
id-763,28,rec-901-dup-0,50
rec-120-dup-0,11,id-90,50
rec-57-dup-0,15,id-170,5
id-10015,12,rec-220-dup-0,100
rec-148-dup-0,28,id-212,5
rec-261-dup-1,10,rec-128-dup-0,5
rec-279-dup-1,27,id-612,50
id-516,18,rec-132-dup-0,50
rec-414-dup-0,12,id-199,5
rec-53-dup-0,30,rec-194-dup-0,5
id-560,21,rec-272-dup-0,5
id-105,17,rec-235-dup-0,5
rec-366-dup-1,28,rec-89-dup-0,5
rec-568-dup-0,18,id-92,1
rec-35-dup-0,9,id-81,5
rec-10133-dup-1,28,id-91,5
id-10013,15,rec-220-dup-1,100
rec-64-dup-0,18,rec-225-dup-0,5
rec-104-dup-0,14,rec-235-dup-0,5
id-151,14,rec-134-dup-0,100
rec-332-dup-0,15,id-265,5
id-477,30,rec-224-dup-0,5
rec-83-dup-0,22,rec-236-dup-0,5
id-28,9,rec-194-dup-0,5
rec-361-dup-0,28,id-689,5
id-10014,26,rec-220-dup-1,100
id-285,25,rec-87-dup-1,5
rec-10093-dup-0,29,rec-128-dup-1,5
rec-215-dup-0,22,rec-263-dup-0,50
rec-35-dup-0,17,rec-131-dup-0,50
rec-261-dup-1,8,rec-128-dup-0,5
rec-478-dup-0,17,id-176,5
rec-372-dup-0,29,rec-227-dup-1,5
id-262,17,rec-128-dup-1,5
id-10069,29,rec-135-dup-0,5
rec-261-dup-0,13,rec-128-dup-1,5
rec-316-dup-1,29,rec-135-dup-1,5
id-755,29,rec-87-dup-0,5
rec-401-dup-1,22,rec-254-dup-0,5
id-303,14,rec-161-dup-0,5
id-461,18,rec-263-dup-0,50
rec-556-dup-0,27,id-216,5
rec-366-dup-1,18,rec-89-dup-0,5
id-262,18,rec-128-dup-1,5
rec-354-dup-0,29,rec-224-dup-0,5
rec-591-dup-0,30,rec-87-dup-0,5
id-371,29,rec-227-dup-1,5
id-10015,14,rec-220-dup-1,100
rec-354-dup-1,7,rec-224-dup-0,5
rec-21-dup-0,28,id-221,5
rec-435-dup-0,16,rec-128-dup-0,5
rec-783-dup-0,29,rec-303-dup-0,5
rec-331-dup-1,16,id-265,5
rec-416-dup-1,18,id-222,5
rec-215-dup-0,21,rec-194-dup-0,5
rec-75-dup-0,9,id-206,5
rec-531-dup-0,24,rec-135-dup-0,5
rec-53-dup-0,22,rec-194-dup-0,5
rec-366-dup-1,25,rec-89-dup-0,5
id-402,26,rec-254-dup-0,5
rec-53-dup-0,13,rec-194-dup-0,5
rec-770-dup-1,29,rec-224-dup-0,5
id-162,14,rec-132-dup-0,50
rec-83-dup-0,18,rec-236-dup-0,5
rec-117-dup-0,23,id-212,5
id-267,12,rec-272-dup-0,5
id-317,24,rec-132-dup-0,5
id-371,12,rec-227-dup-1,5
rec-539-dup-0,22,id-218,5
rec-250-dup-0,8,rec-44-dup-0,100
rec-143-dup-0,12,rec-211-dup-0,100
id-10006,29,rec-134-dup-0,5
id-162,8,rec-132-dup-0,50
rec-19-dup-0,17,id-177,5
rec-466-dup-0,12,rec-299-dup-0,50
id-10014,27,rec-220-dup-1,5
rec-286-dup-0,22,id-167,5
id-351,22,rec-220-dup-0,100
rec-211-dup-1,13,id-222,5
id-469,18,rec-242-dup-0,5
rec-332-dup-1,12,id-265,5
rec-355-dup-0,26,rec-224-dup-0,5
id-193,25,rec-242-dup-0,5
rec-372-dup-0,30,rec-227-dup-0,5
id-10013,27,rec-220-dup-1,5
id-36,14,rec-131-dup-0,50
id-784,29,rec-303-dup-0,50
rec-531-dup-0,24,rec-135-dup-0,5
rec-757-dup-0,29,rec-205-dup-0,5
rec-250-dup-0,29,rec-44-dup-0,5
rec-352-dup-0,21,id-133,5
rec-748-dup-0,29,id-222,5
id-162,12,rec-135-dup-1,5
id-162,8,rec-135-dup-0,5
rec-295-dup-0,15,id-127,5
rec-279-dup-1,30,id-612,50
rec-143-dup-0,21,rec-211-dup-0,100
rec-536-dup-0,21,rec-128-dup-0,50
rec-83-dup-0,23,rec-236-dup-0,5
rec-622-dup-0,21,id-246,5
rec-441-dup-0,30,rec-254-dup-1,5
id-353,27,rec-224-dup-0,5
rec-10093-dup-0,30,rec-128-dup-0,5
id-119,25,rec-220-dup-0,5
rec-462-dup-0,14,id-210,5
id-10013,25,rec-220-dup-0,100
rec-568-dup-1,25,id-258,5
rec-215-dup-1,21,rec-194-dup-0,5
rec-427-dup-0,15,rec-166-dup-0,5
rec-370-dup-0,24,rec-93-dup-1,50
id-456,13,rec-164-dup-0,5
rec-90-dup-1,13,rec-89-dup-0,5
