pokemon,version_group,move,pokemon_move_method,level,order
rec-584-dup-0,20,id-416,4,0,
rec-465-dup-1,20,id-438,4,0,
id-463,20,rec-103-dup-0,4,0,
rec-10147-dup-0,20,rec-164-dup-0,4,0,
rec-10151-dup-0,20,rec-203-dup-0,4,0,
rec-757-dup-0,20,rec-164-dup-0,4,0,
rec-10183-dup-0,20,id-291,1,28,
rec-347-dup-0,20,id-446,4,0,
id-632,20,rec-28-dup-0,1,1,2.0
rec-863-dup-0,20,id-173,4,0,
rec-176-dup-1,20,rec-253-dup-0,4,0,
rec-10151-dup-0,20,id-583,4,0,
id-28,20,rec-421-dup-0,4,0,
rec-575-dup-1,20,rec-203-dup-0,4,0,
id-611,20,rec-673-dup-0,1,33,
id-632,20,rec-11-dup-0,1,4,
rec-10020-dup-1,20,id-399,4,0,
rec-563-dup-1,20,rec-385-dup-0,4,0,
rec-361-dup-0,20,rec-556-dup-1,2,0,
rec-83-dup-0,20,id-206,4,0,
id-10172,20,rec-6-dup-0,4,0,
rec-743-dup-0,20,rec-343-dup-1,1,1,2.0
rec-233-dup-1,20,id-199,1,55,
rec-821-dup-1,20,rec-129-dup-0,4,0,
rec-773-dup-0,20,rec-442-dup-1,4,0,
rec-494-dup-1,20,rec-515-dup-0,1,91,
rec-709-dup-0,20,rec-63-dup-0,4,0,
rec-361-dup-0,20,id-196,4,0,
rec-10190-dup-1,20,id-214,4,0,
id-107,20,rec-279-dup-1,4,0,
rec-233-dup-1,20,id-60,1,20,
id-127,20,rec-203-dup-0,4,0,
id-727,20,rec-53-dup-1,1,44,
rec-619-dup-0,20,id-91,4,0,
rec-484-dup-0,20,rec-34-dup-0,4,0,
id-560,20,rec-251-dup-0,1,24,
rec-10020-dup-0,20,id-173,4,0,
rec-344-dup-0,20,id-317,4,0,
id-675,20,rec-163-dup-1,1,24,
rec-176-dup-1,20,rec-387-dup-0,1,48,
id-875,20,rec-428-dup-0,4,0,
rec-427-dup-0,20,rec-495-dup-0,1,12,
rec-148-dup-1,20,id-349,4,0,
rec-10184-dup-0,20,id-184,4,0,
rec-355-dup-1,20,id-263,4,0,
rec-890-dup-1,20,id-349,4,0,
rec-533-dup-0,20,id-339,1,16,
rec-619-dup-0,20,rec-369-dup-1,1,30,
id-106,20,rec-490-dup-1,4,0,
rec-10025-dup-0,20,id-214,4,0,
rec-10007-dup-0,20,rec-219-dup-0,4,0,
rec-749-dup-1,20,id-173,4,0,
rec-591-dup-0,20,rec-92-dup-0,1,36,
rec-53-dup-0,20,rec-408-dup-0,1,1,1.0
rec-640-dup-0,20,rec-279-dup-1,4,0,
rec-596-dup-0,20,rec-163-dup-1,1,32,
rec-10181-dup-0,20,id-707,4,0,
rec-177-dup-0,20,id-797,3,0,
rec-494-dup-0,20,id-98,1,1,2.0
rec-551-dup-0,20,id-269,4,0,
rec-10181-dup-0,20,rec-200-dup-0,4,0,
id-557,20,rec-450-dup-0,1,12,
id-10099,20,rec-447-dup-0,4,0,
rec-10166-dup-0,20,rec-693-dup-0,4,0,
id-554,20,rec-53-dup-0,4,0,
rec-10184-dup-0,20,rec-213-dup-0,4,0,
id-894,20,rec-113-dup-0,4,0,
rec-10023-dup-0,20,rec-211-dup-1,4,0,
id-473,20,rec-89-dup-1,4,0,
rec-238-dup-1,20,rec-203-dup-0,4,0,
rec-26-dup-0,20,id-263,4,0,
rec-825-dup-0,20,rec-113-dup-0,4,0,
rec-640-dup-1,20,rec-129-dup-0,4,0,
rec-54-dup-1,20,rec-164-dup-0,4,0,
rec-281-dup-1,20,rec-241-dup-0,4,0,
rec-877-dup-0,20,rec-331-dup-1,1,45,
id-546,20,rec-77-dup-0,1,21,
rec-863-dup-1,20,rec-164-dup-0,4,0,
rec-568-dup-0,20,id-402,4,0,
rec-791-dup-0,20,id-394,4,0,
rec-601-dup-0,20,id-263,4,0,
id-675,20,rec-200-dup-0,4,0,
rec-10151-dup-0,20,id-269,4,0,
id-819,20,rec-374-dup-0,4,0,
id-538,20,rec-279-dup-1,4,0,
id-28,20,rec-129-dup-0,4,0,
rec-95-dup-0,20,rec-103-dup-0,4,0,
rec-121-dup-0,20,rec-502-dup-0,4,0,
rec-54-dup-0,20,rec-428-dup-0,4,0,
id-10105,20,rec-526-dup-1,4,0,
rec-112-dup-0,20,rec-359-dup-1,1,0,
id-795,20,rec-483-dup-0,1,65,
rec-517-dup-0,20,id-240,4,0,
id-617,20,rec-34-dup-0,1,1,7.0
rec-10025-dup-0,20,rec-86-dup-0,4,0,
id-10120,20,rec-157-dup-1,4,0,
id-213,20,rec-444-dup-0,4,0,
rec-643-dup-1,20,id-240,4,0,
id-3,20,rec-63-dup-0,4,0,
id-127,20,rec-31-dup-1,2,0,
id-10104,20,rec-129-dup-0,4,0,
id-606,20,rec-470-dup-0,1,24,2.0
rec-35-dup-0,20,id-236,1,24,
rec-543-dup-0,20,id-210,2,0,
rec-32-dup-0,20,rec-34-dup-0,4,0,
id-329,20,rec-189-dup-1,1,12,
id-135,20,rec-28-dup-0,1,5,
id-463,20,rec-53-dup-1,4,0,
rec-534-dup-0,20,id-25,4,0,
id-637,20,rec-83-dup-0,4,0,
id-333,20,rec-366-dup-0,2,0,
id-700,20,rec-473-dup-0,4,0,
rec-34-dup-0,20,rec-270-dup-0,4,0,
rec-83-dup-0,20,rec-64-dup-0,1,1,1.0
id-710,20,rec-53-dup-0,4,0,
id-10192,20,rec-369-dup-0,1,48,
id-151,20,rec-667-dup-0,4,0,
rec-479-dup-1,20,rec-604-dup-0,4,0,
id-246,20,rec-200-dup-1,4,0,
id-72,20,rec-164-dup-0,4,0,
id-245,20,rec-329-dup-0,1,1,1.0
rec-659-dup-0,20,id-111,2,0,
rec-416-dup-0,20,rec-164-dup-0,4,0,
id-385,20,rec-270-dup-0,4,0,
rec-90-dup-0,20,rec-129-dup-0,4,0,
rec-95-dup-0,20,rec-328-dup-1,1,28,
rec-10127-dup-0,20,id-127,4,0,
id-806,20,rec-76-dup-1,4,0,
rec-563-dup-1,20,id-271,4,0,
rec-150-dup-1,20,rec-490-dup-0,4,0,
rec-808-dup-0,20,id-334,4,0,
rec-10181-dup-0,20,id-687,1,1,3.0
rec-530-dup-0,20,rec-350-dup-0,4,0,
rec-845-dup-0,20,id-133,1,42,
rec-343-dup-1,20,id-120,4,0,
rec-10181-dup-0,20,id-242,1,32,
rec-7-dup-0,20,id-25,4,0,
rec-599-dup-0,20,rec-475-dup-0,1,20,
id-844,20,rec-157-dup-1,4,0,
rec-897-dup-0,20,rec-164-dup-0,4,0,
rec-225-dup-0,20,id-814,3,0,
rec-825-dup-0,20,rec-219-dup-0,4,0,
rec-833-dup-1,20,rec-203-dup-0,4,0,
rec-562-dup-1,20,rec-313-dup-0,4,0,
