pokemon,stat,base_stat,effort
rec-325-dup-0,4,70,0
rec-325-dup-0,6,60,0
rec-325-dup-0,5,80,1
rec-325-dup-0,1,60,0
rec-325-dup-0,2,25,0
rec-325-dup-0,3,35,0
rec-490-dup-0,4,100,0
rec-490-dup-0,2,100,0
rec-490-dup-0,6,100,0
rec-490-dup-0,1,100,3
rec-490-dup-0,5,100,0
rec-490-dup-0,3,100,0
rec-70-dup-1,6,55,0
rec-70-dup-1,4,85,0
rec-70-dup-1,5,45,0
rec-70-dup-1,1,65,0
rec-70-dup-1,3,50,0
rec-70-dup-1,2,90,2
rec-482-dup-1,5,70,0
rec-482-dup-1,4,125,1
rec-482-dup-1,2,125,2
rec-482-dup-1,1,75,0
rec-482-dup-1,6,115,0
rec-482-dup-1,3,70,0
rec-206-dup-0,1,100,1
rec-206-dup-0,2,70,0
rec-206-dup-0,4,65,0
rec-206-dup-0,3,70,0
rec-206-dup-0,5,65,0
rec-206-dup-0,6,45,0
rec-261-dup-1,6,35,0
rec-261-dup-1,1,35,0
rec-261-dup-1,2,55,1
rec-261-dup-1,5,30,0
rec-261-dup-1,3,35,0
rec-261-dup-1,4,30,0
rec-462-dup-0,1,70,0
rec-462-dup-0,6,60,0
rec-462-dup-0,3,115,0
rec-462-dup-0,5,90,0
rec-462-dup-0,2,70,0
rec-462-dup-0,4,130,3
rec-10035-dup-0,4,159,3
rec-10035-dup-0,1,78,0
rec-10035-dup-0,6,100,0
rec-10035-dup-0,3,78,0
rec-10035-dup-0,5,115,0
rec-10035-dup-0,2,104,0
rec-678-dup-0,5,81,0
rec-678-dup-0,2,48,0
rec-678-dup-0,3,76,0
rec-678-dup-0,4,83,0
rec-678-dup-0,6,104,2
rec-678-dup-0,1,74,0
rec-596-dup-0,6,108,2
rec-596-dup-0,3,60,0
rec-596-dup-0,1,70,0
rec-596-dup-0,2,77,0
rec-596-dup-0,4,97,0
rec-596-dup-0,5,60,0
rec-350-dup-0,1,95,0
rec-350-dup-0,6,81,0
rec-350-dup-0,3,79,0
rec-350-dup-0,2,60,0
rec-350-dup-0,5,125,2
rec-350-dup-0,4,100,0
rec-591-dup-0,4,85,0
rec-591-dup-0,3,70,0
rec-591-dup-0,5,80,0
rec-591-dup-0,6,30,0
rec-591-dup-0,1,114,2
rec-591-dup-0,2,85,0
rec-10141-dup-0,6,120,0
rec-10141-dup-0,3,60,0
rec-10141-dup-0,2,100,1
rec-10141-dup-0,1,60,0
rec-10141-dup-0,4,100,1
rec-10141-dup-0,5,60,0
rec-10038-dup-0,6,130,0
rec-10038-dup-0,5,95,0
rec-10038-dup-0,1,60,0
rec-10038-dup-0,4,170,3
rec-10038-dup-0,3,80,0
rec-10038-dup-0,2,65,0
rec-10164-dup-0,2,65,0
rec-10164-dup-0,5,40,0
rec-10164-dup-0,6,15,0
rec-10164-dup-0,1,90,1
rec-10164-dup-0,3,65,0
rec-10164-dup-0,4,40,0
rec-717-dup-1,6,99,0
rec-717-dup-1,2,131,0
rec-717-dup-1,3,95,0
rec-717-dup-1,4,131,0
rec-717-dup-1,5,98,0
rec-717-dup-1,1,126,3
rec-10070-dup-1,3,70,0
rec-10070-dup-1,4,110,0
rec-10070-dup-1,2,140,2
rec-10070-dup-1,1,70,0
rec-10070-dup-1,5,65,0
rec-10070-dup-1,6,105,0
rec-250-dup-0,2,130,0
rec-250-dup-0,1,106,0
rec-250-dup-0,5,154,3
rec-250-dup-0,4,110,0
rec-250-dup-0,6,90,0
rec-250-dup-0,3,90,0
rec-10093-dup-0,4,40,0
rec-10093-dup-0,3,70,0
rec-10093-dup-0,1,75,0
rec-10093-dup-0,6,77,2
rec-10093-dup-0,5,80,0
rec-10093-dup-0,2,71,0
rec-269-dup-0,1,60,0
rec-269-dup-0,5,90,3
rec-269-dup-0,4,50,0
rec-269-dup-0,3,70,0
rec-269-dup-0,6,65,0
rec-269-dup-0,2,50,0
rec-746-dup-0,3,20,0
rec-746-dup-0,5,25,0
rec-746-dup-0,4,25,0
rec-746-dup-0,1,45,1
rec-746-dup-0,6,40,0
rec-746-dup-0,2,20,0
rec-75-dup-1,5,45,0
rec-75-dup-1,1,55,0
rec-75-dup-1,4,45,0
rec-75-dup-1,2,95,0
rec-75-dup-1,6,35,0
rec-75-dup-1,3,115,2
rec-435-dup-1,3,67,0
rec-435-dup-1,5,61,0
rec-435-dup-1,6,84,0
rec-435-dup-1,2,93,0
rec-435-dup-1,1,103,2
rec-435-dup-1,4,71,0
rec-367-dup-0,6,52,0
rec-367-dup-0,5,75,0
rec-367-dup-0,4,94,0
rec-367-dup-0,3,105,1
rec-367-dup-0,1,55,0
rec-367-dup-0,2,104,1
rec-517-dup-0,2,25,0
rec-517-dup-0,5,55,0
rec-517-dup-0,6,24,0
rec-517-dup-0,3,45,0
rec-517-dup-0,4,67,0
rec-517-dup-0,1,76,1
rec-10183-dup-0,1,70,0
rec-10183-dup-0,3,55,0
rec-10183-dup-0,5,95,2
rec-10183-dup-0,4,85,0
rec-10183-dup-0,6,85,0
rec-10183-dup-0,2,85,0
rec-201-dup-0,6,48,0
rec-201-dup-0,2,72,1
rec-201-dup-0,5,48,0
rec-201-dup-0,3,48,0
rec-201-dup-0,1,48,0
rec-201-dup-0,4,72,1
rec-10132-dup-0,2,60,0
rec-10132-dup-0,1,60,0
rec-10132-dup-0,4,60,0
rec-10132-dup-0,6,60,0
rec-10132-dup-0,5,100,1
rec-10132-dup-0,3,100,1
rec-19-dup-0,1,30,0
rec-19-dup-0,6,72,1
rec-19-dup-0,4,25,0
rec-19-dup-0,5,35,0
rec-19-dup-0,3,35,0
rec-19-dup-0,2,56,0
rec-10109-dup-1,4,30,0
rec-10109-dup-1,3,100,1
rec-10109-dup-1,2,80,0
rec-10109-dup-1,5,30,0
rec-10109-dup-1,1,40,0
rec-10109-dup-1,6,20,0
rec-143-dup-0,1,160,2
rec-143-dup-0,5,110,0
rec-143-dup-0,3,65,0
rec-143-dup-0,2,110,0
rec-143-dup-0,4,65,0
rec-143-dup-0,6,30,0
rec-19-dup-1,1,30,0
rec-19-dup-1,6,72,1
rec-19-dup-1,4,25,0
rec-19-dup-1,5,35,0
rec-19-dup-1,3,35,0
rec-19-dup-1,2,56,0
rec-852-dup-0,6,32,0
rec-852-dup-0,4,50,0
rec-852-dup-0,3,60,0
rec-852-dup-0,5,50,0
rec-852-dup-0,2,68,1
rec-852-dup-0,1,50,0
rec-131-dup-0,2,85,0
rec-131-dup-0,4,85,0
rec-131-dup-0,1,130,2
rec-131-dup-0,5,95,0
rec-131-dup-0,3,80,0
rec-131-dup-0,6,60,0
rec-358-dup-0,6,65,0
rec-358-dup-0,5,90,1
rec-358-dup-0,2,50,0
rec-358-dup-0,3,80,0
rec-358-dup-0,4,95,1
rec-358-dup-0,1,75,0
rec-10170-dup-0,3,90,0
rec-10170-dup-0,4,85,0
rec-10170-dup-0,5,90,0
rec-10170-dup-0,6,100,0
rec-10170-dup-0,2,125,3
rec-10170-dup-0,1,90,0
rec-26-dup-0,2,90,0
rec-26-dup-0,3,55,0
rec-26-dup-0,6,110,3
rec-26-dup-0,4,90,0
rec-26-dup-0,5,80,0
rec-26-dup-0,1,60,0
rec-177-dup-1,6,70,0
rec-177-dup-1,3,45,0
rec-177-dup-1,2,50,0
rec-177-dup-1,5,45,0
rec-177-dup-1,1,40,0
rec-177-dup-1,4,70,1
rec-6-dup-0,6,100,0
rec-6-dup-0,5,85,0
rec-6-dup-0,3,78,0
rec-6-dup-0,2,84,0
rec-6-dup-0,1,78,0
rec-6-dup-0,4,109,3
rec-147-dup-0,3,45,0
rec-147-dup-0,6,50,0
rec-147-dup-0,2,64,1
rec-147-dup-0,1,41,0
rec-147-dup-0,4,50,0
