1,2
id-83,rec-83-dup-0
id-75,rec-75-dup-0
id-493,rec-493-dup-0
id-232,rec-232-dup-0
id-358,rec-358-dup-0
rec-740-dup-1,rec-740-dup-0
rec-494-dup-1,rec-494-dup-0
rec-50-dup-1,rec-50-dup-0
rec-770-dup-0,rec-770-dup-1
id-10,rec-10-dup-0
id-350,rec-350-dup-1
id-397,rec-397-dup-0
id-820,rec-820-dup-0
rec-321-dup-0,rec-321-dup-1
id-347,rec-347-dup-1
rec-19-dup-1,rec-19-dup-0
id-610,rec-610-dup-0
rec-667-dup-0,rec-667-dup-1
rec-10140-dup-0,rec-10140-dup-1
rec-10107-dup-1,rec-10107-dup-0
id-450,rec-450-dup-1
id-447,rec-447-dup-1
id-500,rec-500-dup-1
id-10133,rec-10133-dup-0
id-19,rec-19-dup-1
id-305,rec-305-dup-0
id-823,rec-823-dup-0
rec-10-dup-0,rec-10-dup-1
id-575,rec-575-dup-0
id-244,rec-244-dup-0
rec-10121-dup-0,rec-10121-dup-1
id-177,rec-177-dup-0
id-864,rec-864-dup-0
id-743,rec-743-dup-1
id-633,rec-633-dup-0
id-494,rec-494-dup-1
id-10040,rec-10040-dup-0
id-93,rec-93-dup-0
id-536,rec-536-dup-0
rec-367-dup-0,rec-367-dup-1
id-331,rec-331-dup-0
rec-773-dup-1,rec-773-dup-0
id-588,rec-588-dup-0
rec-649-dup-1,rec-649-dup-0
id-634,rec-634-dup-0
id-643,rec-643-dup-1
id-655,rec-655-dup-0
id-434,rec-434-dup-0
id-599,rec-599-dup-1
rec-10032-dup-0,rec-10032-dup-1
rec-261-dup-1,rec-261-dup-0
rec-833-dup-0,rec-833-dup-1
id-352,rec-352-dup-0
id-654,rec-654-dup-0
id-67,rec-67-dup-1
id-640,rec-640-dup-1
id-10168,rec-10168-dup-0
rec-811-dup-1,rec-811-dup-0
id-201,rec-201-dup-1
id-343,rec-343-dup-1
id-97,rec-97-dup-0
id-10128,rec-10128-dup-0
id-10084,rec-10084-dup-1
rec-10109-dup-0,rec-10109-dup-1
id-103,rec-103-dup-0
id-225,rec-225-dup-1
id-103,rec-103-dup-1
id-10087,rec-10087-dup-1
id-348,rec-348-dup-0
rec-139-dup-1,rec-139-dup-0
id-10147,rec-10147-dup-0
rec-233-dup-0,rec-233-dup-1
id-723,rec-723-dup-0
id-427,rec-427-dup-1
id-122,rec-122-dup-0
id-10007,rec-10007-dup-0
id-622,rec-622-dup-0
id-478,rec-478-dup-1
id-743,rec-743-dup-0
rec-10161-dup-0,rec-10161-dup-1
id-10140,rec-10140-dup-1
id-760,rec-760-dup-0
id-73,rec-73-dup-0
id-10121,rec-10121-dup-1
id-428,rec-428-dup-0
rec-10070-dup-0,rec-10070-dup-1
id-830,rec-830-dup-0
id-201,rec-201-dup-0
id-478,rec-478-dup-0
rec-253-dup-1,rec-253-dup-0
id-217,rec-217-dup-1
id-226,rec-226-dup-0
rec-821-dup-0,rec-821-dup-1
rec-435-dup-0,rec-435-dup-1
rec-465-dup-1,rec-465-dup-0
id-261,rec-261-dup-0
rec-10020-dup-1,rec-10020-dup-0
id-10121,rec-10121-dup-0
rec-122-dup-1,rec-122-dup-0
rec-734-dup-0,rec-734-dup-1
id-150,rec-150-dup-1
id-189,rec-189-dup-0
id-57,rec-57-dup-0
rec-217-dup-1,rec-217-dup-0
rec-513-dup-1,rec-513-dup-0
rec-362-dup-1,rec-362-dup-0
rec-513-dup-0,rec-513-dup-1
rec-743-dup-1,rec-743-dup-0
rec-667-dup-1,rec-667-dup-0
rec-563-dup-1,rec-563-dup-0
id-238,rec-238-dup-1
id-10162,rec-10162-dup-0
rec-158-dup-0,rec-158-dup-1
id-677,rec-677-dup-0
rec-404-dup-1,rec-404-dup-0
id-20,rec-20-dup-1
id-90,rec-90-dup-0
id-10009,rec-10009-dup-0
rec-316-dup-1,rec-316-dup-0
id-358,rec-358-dup-1
rec-493-dup-1,rec-493-dup-0
id-126,rec-126-dup-0
id-215,rec-215-dup-1
rec-10003-dup-1,rec-10003-dup-0
id-217,rec-217-dup-0
id-517,rec-517-dup-0
rec-332-dup-1,rec-332-dup-0
rec-26-dup-0,rec-26-dup-1
id-10003,rec-10003-dup-0
id-114,rec-114-dup-0
rec-678-dup-0,rec-678-dup-1
rec-640-dup-0,rec-640-dup-1
id-587,rec-587-dup-0
id-10087,rec-10087-dup-0
id-10109,rec-10109-dup-0
rec-10087-dup-1,rec-10087-dup-0
id-159,rec-159-dup-0
id-667,rec-667-dup-1
id-7,rec-7-dup-0
rec-18-dup-1,rec-18-dup-0
id-605,rec-605-dup-0
rec-365-dup-1,rec-365-dup-0
rec-740-dup-0,rec-740-dup-1
rec-10007-dup-1,rec-10007-dup-0
id-101,rec-101-dup-0
id-10019,rec-10019-dup-0
rec-10003-dup-0,rec-10003-dup-1
id-370,rec-370-dup-0
id-294,rec-294-dup-0
id-355,rec-355-dup-1
id-534,rec-534-dup-0
id-409,rec-409-dup-0
id-34,rec-34-dup-0
id-348,rec-348-dup-1
id-659,rec-659-dup-0
rec-131-dup-1,rec-131-dup-0
id-625,rec-625-dup-1
rec-863-dup-0,rec-863-dup-1
id-10030,rec-10030-dup-0
id-773,rec-773-dup-0
id-117,rec-117-dup-0
id-479,rec-479-dup-0
rec-657-dup-0,rec-657-dup-1
id-493,rec-493-dup-1
id-373,rec-373-dup-0
rec-26-dup-1,rec-26-dup-0
id-674,rec-674-dup-0
id-487,rec-487-dup-0
rec-717-dup-1,rec-717-dup-0
id-340,rec-340-dup-0
rec-438-dup-0,rec-438-dup-1
id-344,rec-344-dup-0
id-188,rec-188-dup-0
id-10107,rec-10107-dup-0
id-10141,rec-10141-dup-0
rec-381-dup-1,rec-381-dup-0
id-794,rec-794-dup-0
rec-500-dup-0,rec-500-dup-1
rec-347-dup-1,rec-347-dup-0
rec-10019-dup-1,rec-10019-dup-0
rec-10-dup-1,rec-10-dup-0
id-601,rec-601-dup-1
id-96,rec-96-dup-0
id-748,rec-748-dup-0
id-18,rec-18-dup-0
id-428,rec-428-dup-1
rec-479-dup-0,rec-479-dup-1
id-258,rec-258-dup-1
id-49,rec-49-dup-0
id-740,rec-740-dup-1
id-532,rec-532-dup-0
id-466,rec-466-dup-0
id-144,rec-144-dup-1
id-556,rec-556-dup-0
id-10021,rec-10021-dup-0
id-250,rec-250-dup-0
id-64,rec-64-dup-0
id-404,rec-404-dup-0
id-10073,rec-10073-dup-0
rec-233-dup-1,rec-233-dup-0
rec-18-dup-0,rec-18-dup-1
id-6,rec-6-dup-0
id-780,rec-780-dup-0
rec-427-dup-1,rec-427-dup-0
rec-10164-dup-0,rec-10164-dup-1
rec-416-dup-0,rec-416-dup-1
id-757,rec-757-dup-0
rec-685-dup-1,rec-685-dup-0
rec-253-dup-0,rec-253-dup-1
id-176,rec-176-dup-1
id-501,rec-501-dup-0
id-343,rec-343-dup-0
id-521,rec-521-dup-0
id-453,rec-453-dup-0
rec-10107-dup-0,rec-10107-dup-1
id-147,rec-147-dup-0
rec-227-dup-1,rec-227-dup-0
id-10007,rec-10007-dup-1
id-519,rec-519-dup-0
id-372,rec-372-dup-0
rec-67-dup-1,rec-67-dup-0
rec-10030-dup-1,rec-10030-dup-0
rec-10031-dup-1,rec-10031-dup-0
id-10050,rec-10050-dup-0
id-10074,rec-10074-dup-0
id-619,rec-619-dup-0
rec-10087-dup-0,rec-10087-dup-1
id-316,rec-316-dup-1
id-53,rec-53-dup-0
id-133,rec-133-dup-0
rec-428-dup-1,rec-428-dup-0
id-148,rec-148-dup-1
rec-770-dup-1,rec-770-dup-0
id-316,rec-316-dup-0
id-533,rec-533-dup-0
id-553,rec-553-dup-0
rec-678-dup-1,rec-678-dup-0
rec-350-dup-1,rec-350-dup-0
rec-348-dup-1,rec-348-dup-0
id-539,rec-539-dup-1
id-10058,rec-10058-dup-1
rec-10161-dup-1,rec-10161-dup-0
id-738,rec-738-dup-0
id-208,rec-208-dup-0
id-416,rec-416-dup-1
rec-215-dup-1,rec-215-dup-0
rec-355-dup-0,rec-355-dup-1
id-435,rec-435-dup-1
id-717,rec-717-dup-1
id-601,rec-601-dup-0
rec-749-dup-1,rec-749-dup-0
id-854,rec-854-dup-0
rec-350-dup-0,rec-350-dup-1
id-746,rec-746-dup-0
rec-753-dup-0,rec-753-dup-1
id-50,rec-50-dup-1
rec-787-dup-1,rec-787-dup-0
rec-343-dup-1,rec-343-dup-0
id-114,rec-114-dup-1
id-361,rec-361-dup-0
rec-601-dup-1,rec-601-dup-0
id-524,rec-524-dup-0
rec-640-dup-1,rec-640-dup-0
rec-279-dup-0,rec-279-dup-1
id-523,rec-523-dup-0
rec-524-dup-0,rec-524-dup-1
rec-201-dup-0,rec-201-dup-1
rec-811-dup-0,rec-811-dup-1
id-730,rec-730-dup-0
id-667,rec-667-dup-0
id-52,rec-52-dup-0
rec-10140-dup-1,rec-10140-dup-0
rec-416-dup-1,rec-416-dup-0
id-10111,rec-10111-dup-0
id-897,rec-897-dup-0
rec-487-dup-1,rec-487-dup-0
id-50,rec-50-dup-0
id-749,rec-749-dup-0
id-367,rec-367-dup-0
rec-75-dup-1,rec-75-dup-0
rec-54-dup-1,rec-54-dup-0
rec-519-dup-1,rec-519-dup-0
id-156,rec-156-dup-0
rec-122-dup-0,rec-122-dup-1
rec-854-dup-0,rec-854-dup-1
rec-227-dup-0,rec-227-dup-1
rec-10076-dup-0,rec-10076-dup-1
id-26,rec-26-dup-1
rec-760-dup-0,rec-760-dup-1
rec-494-dup-0,rec-494-dup-1
rec-584-dup-1,rec-584-dup-0
rec-10070-dup-1,rec-10070-dup-0
rec-562-dup-0,rec-562-dup-1
rec-261-dup-0,rec-261-dup-1
rec-235-dup-0,rec-235-dup-1
id-438,rec-438-dup-1
id-669,rec-669-dup-0
id-634,rec-634-dup-1
id-32,rec-32-dup-0
rec-656-dup-0,rec-656-dup-1
rec-589-dup-0,rec-589-dup-1
id-79,rec-79-dup-0
id-685,rec-685-dup-0
rec-281-dup-1,rec-281-dup-0
rec-235-dup-1,rec-235-dup-0
id-487,rec-487-dup-1
id-660,rec-660-dup-1
id-112,rec-112-dup-0
rec-10145-dup-1,rec-10145-dup-0
rec-575-dup-0,rec-575-dup-1
rec-331-dup-1,rec-331-dup-0
rec-428-dup-0,rec-428-dup-1
id-705,rec-705-dup-0
id-725,rec-725-dup-0
id-10113,rec-10113-dup-0
id-740,rec-740-dup-0
id-35,rec-35-dup-0
id-369,rec-369-dup-0
id-854,rec-854-dup-1
id-273,rec-273-dup-0
id-643,rec-643-dup-0
id-641,rec-641-dup-0
id-378,rec-378-dup-0
id-586,rec-586-dup-0
id-10145,rec-10145-dup-0
rec-886-dup-1,rec-886-dup-0
id-438,rec-438-dup-0
id-589,rec-589-dup-0
rec-401-dup-1,rec-401-dup-0
rec-465-dup-0,rec-465-dup-1
id-381,rec-381-dup-1
id-861,rec-861-dup-0
id-591,rec-591-dup-0
id-10103,rec-10103-dup-0
id-10164,rec-10164-dup-1
id-890,rec-890-dup-1
rec-10032-dup-1,rec-10032-dup-0
rec-6-dup-0,rec-6-dup-1
id-472,rec-472-dup-0
rec-201-dup-1,rec-201-dup-0
id-863,rec-863-dup-1
id-531,rec-531-dup-0
id-682,rec-682-dup-0
id-558,rec-558-dup-0
id-354,rec-354-dup-1
id-332,rec-332-dup-0
rec-215-dup-0,rec-215-dup-1
id-163,rec-163-dup-0
rec-10133-dup-0,rec-10133-dup-1
id-10181,rec-10181-dup-0
rec-599-dup-0,rec-599-dup-1
id-596,rec-596-dup-1
id-10133,rec-10133-dup-1
id-551,rec-551-dup-0
rec-10164-dup-1,rec-10164-dup-0
rec-464-dup-1,rec-464-dup-0
id-482,rec-482-dup-0
rec-269-dup-1,rec-269-dup-0
rec-90-dup-1,rec-90-dup-0
id-142,rec-142-dup-0
rec-148-dup-1,rec-148-dup-0
id-678,rec-678-dup-0
rec-10109-dup-1,rec-10109-dup-0
id-381,rec-381-dup-0
id-10183,rec-10183-dup-0
id-10118,rec-10118-dup-0
rec-73-dup-0,rec-73-dup-1
id-233,rec-233-dup-0
rec-10084-dup-0,rec-10084-dup-1
rec-10007-dup-0,rec-10007-dup-1
id-734,rec-734-dup-0
rec-10025-dup-1,rec-10025-dup-0
id-401,rec-401-dup-1
id-596,rec-596-dup-0
id-697,rec-697-dup-0
id-808,rec-808-dup-0
id-10065,rec-10065-dup-0
id-10035,rec-10035-dup-0
id-261,rec-261-dup-1
rec-749-dup-0,rec-749-dup-1
id-84,rec-84-dup-0
id-296,rec-296-dup-1
id-513,rec-513-dup-1
id-450,rec-450-dup-0
rec-258-dup-0,rec-258-dup-1
id-544,rec-544-dup-0
id-877,rec-877-dup-0
rec-435-dup-1,rec-435-dup-0
id-409,rec-409-dup-1
id-43,rec-43-dup-0
rec-366-dup-0,rec-366-dup-1
id-401,rec-401-dup-0
id-192,rec-192-dup-0
id-579,rec-579-dup-0
id-70,rec-70-dup-1
id-563,rec-563-dup-1
id-562,rec-562-dup-1
id-464,rec-464-dup-0
rec-10058-dup-1,rec-10058-dup-0
id-832,rec-832-dup-0
id-186,rec-186-dup-0
rec-450-dup-0,rec-450-dup-1
id-10084,rec-10084-dup-0
rec-568-dup-0,rec-568-dup-1
id-437,rec-437-dup-0
rec-820-dup-0,rec-820-dup-1
id-704,rec-704-dup-0
rec-561-dup-1,rec-561-dup-0
rec-734-dup-1,rec-734-dup-0
id-18,rec-18-dup-1
id-10170,rec-10170-dup-1
rec-131-dup-0,rec-131-dup-1
id-10031,rec-10031-dup-1
id-552,rec-552-dup-0
rec-177-dup-1,rec-177-dup-0
id-811,rec-811-dup-1
id-233,rec-233-dup-1
rec-562-dup-1,rec-562-dup-0
rec-596-dup-0,rec-596-dup-1
id-530,rec-530-dup-0
id-325,rec-325-dup-0
rec-176-dup-1,rec-176-dup-0
rec-717-dup-0,rec-717-dup-1
id-319,rec-319-dup-0
rec-429-dup-1,rec-429-dup-0
id-507,rec-507-dup-0
id-10032,rec-10032-dup-1
id-896,rec-896-dup-0
id-828,rec-828-dup-0
id-568,rec-568-dup-0
id-10190,rec-10190-dup-1
id-139,rec-139-dup-1
rec-10044-dup-1,rec-10044-dup-0
id-542,rec-542-dup-0
id-10025,rec-10025-dup-1
rec-296-dup-1,rec-296-dup-0
id-367,rec-367-dup-1
rec-464-dup-0,rec-464-dup-1
id-10083,rec-10083-dup-0
rec-601-dup-0,rec-601-dup-1
rec-589-dup-1,rec-589-dup-0
rec-20-dup-0,rec-20-dup-1
id-888,rec-888-dup-0
rec-426-dup-0,rec-426-dup-1
id-253,rec-253-dup-0
id-379,rec-379-dup-0
id-10188,rec-10188-dup-0
rec-10084-dup-1,rec-10084-dup-0
id-10025,rec-10025-dup-0
rec-347-dup-0,rec-347-dup-1
rec-70-dup-1,rec-70-dup-0
id-355,rec-355-dup-0
id-258,rec-258-dup-0
rec-114-dup-0,rec-114-dup-1
rec-539-dup-0,rec-539-dup-1
id-279,rec-279-dup-0
id-10031,rec-10031-dup-0
rec-10167-dup-1,rec-10167-dup-0
rec-296-dup-0,rec-296-dup-1
id-416,rec-416-dup-0
rec-90-dup-0,rec-90-dup-1
id-10070,rec-10070-dup-1
rec-321-dup-1,rec-321-dup-0
rec-10031-dup-0,rec-10031-dup-1
id-888,rec-888-dup-1
id-444,rec-444-dup-0
rec-10145-dup-0,rec-10145-dup-1
rec-482-dup-0,rec-482-dup-1
rec-150-dup-0,rec-150-dup-1
id-685,rec-685-dup-1
rec-409-dup-1,rec-409-dup-0
rec-381-dup-0,rec-381-dup-1
id-253,rec-253-dup-1
id-568,rec-568-dup-1
rec-524-dup-1,rec-524-dup-0
id-600,rec-600-dup-0
id-831,rec-831-dup-0
id-365,rec-365-dup-0
id-640,rec-640-dup-0
rec-258-dup-1,rec-258-dup-0
id-10076,rec-10076-dup-1
id-206,rec-206-dup-0
rec-568-dup-1,rec-568-dup-0
id-269,rec-269-dup-1
id-204,rec-204-dup-0
rec-414-dup-1,rec-414-dup-0
id-68,rec-68-dup-0
id-10092,rec-10092-dup-0
rec-279-dup-1,rec-279-dup-0
rec-787-dup-0,rec-787-dup-1
id-10077,rec-10077-dup-0
id-613,rec-613-dup-0
rec-10121-dup-1,rec-10121-dup-0
rec-643-dup-1,rec-643-dup-0
id-770,rec-770-dup-0
id-562,rec-562-dup-0
id-707,rec-707-dup-0
rec-634-dup-1,rec-634-dup-0
id-429,rec-429-dup-1
rec-556-dup-0,rec-556-dup-1
rec-753-dup-1,rec-753-dup-0
rec-226-dup-1,rec-226-dup-0
rec-685-dup-0,rec-685-dup-1
rec-634-dup-0,rec-634-dup-1
id-366,rec-366-dup-1
rec-348-dup-0,rec-348-dup-1
id-845,rec-845-dup-0
id-10095,rec-10095-dup-0
id-427,rec-427-dup-0
id-561,rec-561-dup-0
rec-6-dup-1,rec-6-dup-0
id-54,rec-54-dup-1
rec-10025-dup-0,rec-10025-dup-1
id-10127,rec-10127-dup-0
id-10019,rec-10019-dup-1
id-210,rec-210-dup-0
id-122,rec-122-dup-1
id-10076,rec-10076-dup-0
id-676,rec-676-dup-0
id-414,rec-414-dup-0
rec-358-dup-1,rec-358-dup-0
rec-10170-dup-1,rec-10170-dup-0
id-131,rec-131-dup-0
rec-863-dup-1,rec-863-dup-0
id-362,rec-362-dup-0
rec-70-dup-0,rec-70-dup-1
id-321,rec-321-dup-0
id-717,rec-717-dup-0
rec-75-dup-0,rec-75-dup-1
rec-10167-dup-0,rec-10167-dup-1
id-787,rec-787-dup-0
id-575,rec-575-dup-1
id-10005,rec-10005-dup-0
id-528,rec-528-dup-0
id-362,rec-362-dup-1
rec-519-dup-0,rec-519-dup-1
id-871,rec-871-dup-0
rec-500-dup-1,rec-500-dup-0
rec-56-dup-0,rec-56-dup-1
id-10184,rec-10184-dup-0
id-152,rec-152-dup-0
id-10065,rec-10065-dup-1
id-235,rec-235-dup-0
id-529,rec-529-dup-0
id-657,rec-657-dup-0
rec-677-dup-1,rec-677-dup-0
rec-483-dup-1,rec-483-dup-0
id-462,rec-462-dup-0
id-10150,rec-10150-dup-0
id-10132,rec-10132-dup-0
id-464,rec-464-dup-1
id-565,rec-565-dup-0
rec-482-dup-1,rec-482-dup-0
id-121,rec-121-dup-1
id-10038,rec-10038-dup-0
id-753,rec-753-dup-0
rec-10112-dup-0,rec-10112-dup-1
rec-355-dup-1,rec-355-dup-0
id-21,rec-21-dup-0
rec-362-dup-0,rec-362-dup-1
id-158,rec-158-dup-1
id-886,rec-886-dup-1
rec-561-dup-0,rec-561-dup-1
rec-56-dup-1,rec-56-dup-0
rec-660-dup-0,rec-660-dup-1
rec-821-dup-1,rec-821-dup-0
rec-487-dup-0,rec-487-dup-1
id-625,rec-625-dup-0
rec-144-dup-1,rec-144-dup-0
id-226,rec-226-dup-1
id-251,rec-251-dup-0
id-630,rec-630-dup-0
id-649,rec-649-dup-1
rec-575-dup-1,rec-575-dup-0
id-782,rec-782-dup-0
rec-121-dup-1,rec-121-dup-0
id-494,rec-494-dup-0
id-846,rec-846-dup-0
rec-478-dup-0,rec-478-dup-1
rec-493-dup-0,rec-493-dup-1
id-211,rec-211-dup-1
id-148,rec-148-dup-0
id-26,rec-26-dup-0
id-760,rec-760-dup-1
rec-10030-dup-0,rec-10030-dup-1
id-649,rec-649-dup-0
id-211,rec-211-dup-0
rec-10170-dup-0,rec-10170-dup-1
rec-281-dup-0,rec-281-dup-1
id-513,rec-513-dup-0
id-90,rec-90-dup-1
id-10145,rec-10145-dup-1
rec-820-dup-1,rec-820-dup-0
id-365,rec-365-dup-1
rec-556-dup-1,rec-556-dup-0
id-599,rec-599-dup-0
rec-10020-dup-0,rec-10020-dup-1
id-709,rec-709-dup-0
id-773,rec-773-dup-1
rec-238-dup-0,rec-238-dup-1
id-54,rec-54-dup-0
id-296,rec-296-dup-0
id-833,rec-833-dup-0
id-508,rec-508-dup-0
id-74,rec-74-dup-0
rec-144-dup-0,rec-144-dup-1
rec-343-dup-0,rec-343-dup-1
id-483,rec-483-dup-1
id-678,rec-678-dup-1
id-73,rec-73-dup-1
rec-429-dup-0,rec-429-dup-1
rec-164-dup-1,rec-164-dup-0
id-701,rec-701-dup-0
rec-238-dup-1,rec-238-dup-0
id-791,rec-791-dup-0
rec-103-dup-0,rec-103-dup-1
id-392,rec-392-dup-0
id-10140,rec-10140-dup-0
rec-17-dup-0,rec-17-dup-1
id-775,rec-775-dup-0
id-10122,rec-10122-dup-0
rec-401-dup-0,rec-401-dup-1
id-10056,rec-10056-dup-0
