species,version,language,flavor_text
id-1,33,1,うまれたときから　せなかにしょくぶつの　タネが　あってすこしずつ　おおきく　そだつ。
id-1,33,3,태어났을 때부터 등에식물의 씨앗이 있으며조금씩 크게 자란다.
id-1,33,4,從出生的時候開始背上就有一顆植物種子。這顆種子會漸漸地長大。
id-1,33,5,Il y a une graine sur son dos depuis sa naissance.Elle grossit un peu chaque jour.
id-1,33,6,"Dieses Pokémon trägt von Geburt an einenSamen auf dem Rücken, der im Laufe der Zeitkeimt und wächst."
id-1,33,7,"Este Pokémon nace con una semilla en el lomo,que brota con el paso del tiempo."
id-1,33,8,Fin dalla nascita questo Pokémon ha sulla schienaun seme che cresce lentamente.
id-1,33,9,There is a plant seed on its back right from theday this Pokémon is born. The seed slowlygrows larger.
id-1,33,11,生まれたときから　背中に植物の　タネが　あって少しずつ　大きく　育つ。
id-1,33,12,从出生的时候开始，背上就有一颗植物种子。这颗种子会渐渐地长大。
id-1,34,1,うまれて　しばらくの　あいだせなかの　タネに　つまったえいようを　とって　そだつ。
id-1,34,3,태어나서 얼마 동안등의 씨앗에 담긴영양을 섭취하며 자란다.
id-1,34,4,在出生後的一段時間內，牠會吸收背上種子裡儲存著的營養成長。
id-1,34,5,"Quand il est jeune, il absorbe les nutrimentsconservés dans son dos pour grandiret se développer."
id-1,34,6,Nach der Geburt nimmt es für eine WeileNährstoffe über den Samen auf seinemRücken auf.
id-1,34,7,"Desde que nace, crece alimentándose de losnutrientes que contiene la semilla de su lomo."
id-1,34,8,"Appena nato, trae nutrimento dalle sostanzecontenute nel seme sul dorso."
id-1,34,9,"While it is young, it uses the nutrients that arestored in the seed on its back in order to grow."
id-1,34,11,生まれて　しばらくの　あいだ背中の　タネに　つまった栄養を　とって　育つ。
id-1,34,12,在出生后的一段时间内，它会吸收背上种子里储存着的营养成长。
id-2,33,1,せなかの　つぼみが　おおきくそだってくると　２ほんあしでたつことが　できなくなるらしい。
id-2,33,3,등에 있는 봉오리가 크게자라면 두 다리로설 수 없게 되는 듯하다.
id-2,33,4,當背上的花苞長大之後，牠似乎就無法再用兩隻腳站立起來了。
