species,local_language,name,genus
id-1,1,フシギダネ,たねポケモン
id-1,2,Fushigidane,
id-1,3,이상해씨,씨앗포켓몬
id-1,4,妙蛙種子,種子寶可夢
id-1,5,Bulbizarre,Pokémon Graine
id-1,6,Bisasam,Samen-Pokémon
id-1,7,Bulbasaur,Pokémon Semilla
id-1,8,Bulbasaur,Pokémon Seme
id-1,9,Bulbasaur,Seed Pokémon
id-1,11,フシギダネ,たねポケモン
id-1,12,妙蛙种子,种子宝可梦
id-2,1,フシギソウ,たねポケモン
id-2,2,Fushigisou,
id-2,3,이상해풀,씨앗포켓몬
id-2,4,妙蛙草,種子寶可夢
id-2,5,Herbizarre,Pokémon Graine
id-2,6,Bisaknosp,Samen-Pokémon
id-2,7,Ivysaur,Pokémon Semilla
id-2,8,Ivysaur,Pokémon Seme
id-2,9,Ivysaur,Seed Pokémon
id-2,11,フシギソウ,たねポケモン
id-2,12,妙蛙草,种子宝可梦
id-3,1,フシギバナ,たねポケモン
id-3,2,Fushigibana,
id-3,3,이상해꽃,씨앗포켓몬
id-3,4,妙蛙花,種子寶可夢
id-3,5,Florizarre,Pokémon Graine
id-3,6,Bisaflor,Samen-Pokémon
id-3,7,Venusaur,Pokémon Semilla
id-3,8,Venusaur,Pokémon Seme
id-3,9,Venusaur,Seed Pokémon
id-3,11,フシギバナ,たねポケモン
id-3,12,妙蛙花,种子宝可梦
id-4,1,ヒトカゲ,とかげポケモン
id-4,2,Hitokage,
id-4,3,파이리,도롱뇽포켓몬
id-4,4,小火龍,蜥蜴寶可夢
id-4,5,Salamèche,Pokémon Lézard
id-4,6,Glumanda,Echsen-Pokémon
id-4,7,Charmander,Pokémon Lagartija
id-4,8,Charmander,Pokémon Lucertola
id-4,9,Charmander,Lizard Pokémon
id-4,11,ヒトカゲ,とかげポケモン
id-4,12,小火龙,蜥蜴宝可梦
id-5,1,リザード,かえんポケモン
id-5,2,Lizardo,
id-5,3,리자드,화염포켓몬
id-5,4,火恐龍,火焰寶可夢
id-5,5,Reptincel,Pokémon Flamme
id-5,6,Glutexo,Flammen-Pokémon
id-5,7,Charmeleon,Pokémon Llama
id-5,8,Charmeleon,Pokémon Fiamma
id-5,9,Charmeleon,Flame Pokémon
id-5,11,リザード,かえんポケモン
id-5,12,火恐龙,火焰宝可梦
id-6,1,リザードン,かえんポケモン
id-6,2,Lizardon,
id-6,3,리자몽,화염포켓몬
id-6,4,噴火龍,火焰寶可夢
id-6,5,Dracaufeu,Pokémon Flamme
id-6,6,Glurak,Flammen-Pokémon
id-6,7,Charizard,Pokémon Llama
id-6,8,Charizard,Pokémon Fiamma
id-6,9,Charizard,Flame Pokémon
id-6,11,リザードン,かえんポケモン
id-6,12,喷火龙,火焰宝可梦
id-7,1,ゼニガメ,かめのこポケモン
id-7,2,Zenigame,
id-7,3,꼬부기,꼬마거북포켓몬
id-7,4,傑尼龜,小龜寶可夢
id-7,5,Carapuce,Pokémon Minitortue
id-7,6,Schiggy,Minikröten-Pokémon
id-7,7,Squirtle,Pokémon Tortuguita
id-7,8,Squirtle,Pokémon Tartaghina
id-7,9,Squirtle,Tiny Turtle Pokémon
id-7,11,ゼニガメ,かめのこポケモン
id-7,12,杰尼龟,小龟宝可梦
id-8,1,カメール,かめポケモン
id-8,2,Kameil,
id-8,3,어니부기,거북포켓몬
